index,tier,model,mutation_type,erroneous_line_number,target_variable,correct_value,flawed_value,repro_seed,date_utc,time_utc,mutation_details,filepath,solution_line_count,error_line_numeric,error_position_ratio,position_bin,validator
1762,tier4,google_gemini-2.5-flash,incomplete_calculation,L1,cars_with_valid_tickets,225.0,3.0,1718243585950518213,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""cars_with_valid_tickets"", ""operand_to_remove"": ""valid_tickets_percent_num"", ""original_operands"": [""percent_factor"", ""total_cars"", ""valid_tickets_percent_num""]}",data/conceptual-error-candidates/tier4/1762/google_gemini-2.5-flash_incomplete_calculation_cars_with_valid_tickets_.json,4,1,0.25,early,mauro
4738,tier4,google_gemini-2.5-flash,incomplete_calculation,L1,reindeer_eaten_pinecones,400.0,20.0,7540640468077577403,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""reindeer_eaten_pinecones"", ""operand_to_remove"": ""reindeer_eaten_percent_num"", ""original_operands"": [""initial_pinecones"", ""percent_factor"", ""reindeer_eaten_percent_num""]}",data/conceptual-error-candidates/tier4/4738/google_gemini-2.5-flash_incomplete_calculation_reindeer_eaten_pinecones_.json,5,1,0.2,early,mauro
5691,tier4,google_gemini-2.5-flash,incomplete_calculation,L1,full_meal_cost_before_voucher,40,20,1485228474439472674,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""full_meal_cost_before_voucher"", ""operand_to_remove"": ""ribeye_cost"", ""original_operands"": [""appetizer_cost"", ""cheesecake_cost"", ""ribeye_cost"", ""wine_glass_cost"", ""wine_glass_cost""]}",data/conceptual-error-candidates/tier4/5691/google_gemini-2.5-flash_incomplete_calculation_full_meal_cost_before_voucher_.json,4,1,0.25,early,ling
2102,tier4,google_gemini-2.5-flash,incomplete_calculation,L2,insurance_deduction,100.0,20.0,-5537858767612314471,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""insurance_deduction"", ""operand_to_remove"": ""insurance_percent_num"", ""original_operands"": [""insurance_percent_num"", ""monthly_salary"", ""percent_factor""]}",data/conceptual-error-candidates/tier4/2102/google_gemini-2.5-flash_incomplete_calculation_insurance_deduction_.json,6,2,0.3333333333333333,middle,ali
2135,tier4,google_gemini-2.5-flash,incomplete_calculation,L1,total_weight,48.0,36.0,1362351056211377717,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_weight"", ""operand_to_remove"": ""cat1_weight"", ""original_operands"": [""cat1_weight"", ""cat2_weight"", ""cat3_weight"", ""cat4_weight""]}",data/conceptual-error-candidates/tier4/2135/google_gemini-2.5-flash_incomplete_calculation_total_weight_.json,2,1,0.5,middle,arvind
4306,tier4,google_gemini-2.5-flash,incomplete_calculation,L1,deer_with_8_antlers,92.0,9200,-114780687423757604,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""deer_with_8_antlers"", ""operand_to_remove"": ""percent_factor"", ""original_operands"": [""antler_percent_num"", ""percent_factor"", ""total_deer""]}",data/conceptual-error-candidates/tier4/4306/google_gemini-2.5-flash_incomplete_calculation_deer_with_8_antlers_.json,2,1,0.5,middle,arvind
4408,tier4,google_gemini-2.5-flash,incomplete_calculation,L3,subtotal_cost,22.0,12.0,-3914636915948944611,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""subtotal_cost"", ""operand_to_remove"": ""total_meat_cost"", ""original_operands"": [""bread_cost"", ""total_cheese_cost"", ""total_meat_cost""]}",data/conceptual-error-candidates/tier4/4408/google_gemini-2.5-flash_incomplete_calculation_subtotal_cost_.json,5,3,0.6,middle,ali
6587,tier4,google_gemini-2.5-flash,incomplete_calculation,L3,girls_with_dogs,10.0,1000.0,1215103533424478970,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""girls_with_dogs"", ""operand_to_remove"": ""percent_factor"", ""original_operands"": [""girls_dog_percent_num"", ""num_girls"", ""percent_factor""]}",data/conceptual-error-candidates/tier4/6587/google_gemini-2.5-flash_incomplete_calculation_girls_with_dogs_.json,5,3,0.6,middle,ali
1819,tier4,google_gemini-2.5-flash,incomplete_calculation,L5,total_cost_before_bread,38.0,34.0,8105792825983992792,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_cost_before_bread"", ""operand_to_remove"": ""salami_price"", ""original_operands"": [""cost_brie"", ""cost_feta"", ""cost_olives"", ""cost_sandwiches"", ""salami_price""]}",data/conceptual-error-candidates/tier4/1819/google_gemini-2.5-flash_incomplete_calculation_total_cost_before_bread_.json,6,5,0.8333333333333334,late,ling
3217,tier4,google_gemini-2.5-flash,incomplete_calculation,L3,total_pens,22.0,10.0,-4567233004630218041,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_pens"", ""operand_to_remove"": ""julia_pens"", ""original_operands"": [""dorothy_pens"", ""julia_pens"", ""robert_pens""]}",data/conceptual-error-candidates/tier4/3217/google_gemini-2.5-flash_incomplete_calculation_total_pens_.json,4,3,0.75,late,yewei
3388,tier4,google_gemini-2.5-flash,incomplete_calculation,L4,total_products_weight_oz,32.0,16.0,5171763098847815018,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_products_weight_oz"", ""operand_to_remove"": ""total_jam_weight_oz"", ""original_operands"": [""total_jam_weight_oz"", ""total_perfume_weight_oz"", ""total_soap_weight_oz""]}",data/conceptual-error-candidates/tier4/3388/google_gemini-2.5-flash_incomplete_calculation_total_products_weight_oz_.json,6,4,0.6666666666666666,late,mauro
4051,tier4,google_gemini-2.5-flash,incomplete_calculation,L4,total_bill,55.0,30.0,-2522267097370268412,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_bill"", ""operand_to_remove"": ""total_hamburger_cost"", ""original_operands"": [""taco_salad_cost"", ""total_fries_cost"", ""total_hamburger_cost"", ""total_lemonade_cost""]}",data/conceptual-error-candidates/tier4/4051/google_gemini-2.5-flash_incomplete_calculation_total_bill_.json,5,4,0.8,late,yewei
4132,tier4,google_gemini-2.5-flash,incomplete_calculation,L5,total_height,23.0,20.0,5738807410859938364,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_height"", ""operand_to_remove"": ""second_year_growth"", ""original_operands"": [""fifth_year_growth"", ""first_year_growth"", ""fourth_year_growth"", ""second_year_growth"", ""third_year_growth""]}",data/conceptual-error-candidates/tier4/4132/google_gemini-2.5-flash_incomplete_calculation_total_height_.json,5,5,1.0,late,yewei
4178,tier4,google_gemini-2.5-flash,incomplete_calculation,L4,total_time,7.0,5.0,-256601229702249326,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_time"", ""operand_to_remove"": ""years_learning_basics"", ""original_operands"": [""acclimation_period"", ""dissertation_time"", ""total_research_time"", ""years_learning_basics""]}",data/conceptual-error-candidates/tier4/4178/google_gemini-2.5-flash_incomplete_calculation_total_time_.json,4,4,1.0,late,ling
7037,tier4,google_gemini-2.5-flash,incomplete_calculation,L4,total_altered_votes,20.0,10.0,5072038639242425720,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_altered_votes"", ""operand_to_remove"": ""got_initial_votes"", ""original_operands"": [""got_initial_votes"", ""taotd_altered_votes"", ""twilight_altered_votes""]}",data/conceptual-error-candidates/tier4/7037/google_gemini-2.5-flash_incomplete_calculation_total_altered_votes_.json,5,4,0.8,late,ali
7350,tier4,google_gemini-2.5-flash,incomplete_calculation,L2,total_other_purchases,75.0,55.0,7953845068856748132,2025-07-21,12:32:45,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_other_purchases"", ""operand_to_remove"": ""paint_cost"", ""original_operands"": [""canvases_cost"", ""easel_cost"", ""paint_cost""]}",data/conceptual-error-candidates/tier4/7350/google_gemini-2.5-flash_incomplete_calculation_total_other_purchases_.json,3,2,0.6666666666666666,late,arvind
44,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,accommodation_cost,150.0,10.0,4849107078724622196,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""accommodation_cost"", ""operand_to_remove"": ""accommodation_percent_num"", ""original_operands"": [""accommodation_percent_num"", ""budget"", ""percent_factor""]}",data/conceptual-error-candidates/tier2/44/google_gemini-2.5-flash_incomplete_calculation_accommodation_cost_.json,4,1,0.25,early,ali
801,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,income_tax,50.0,5.0,1207101889472700227,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""income_tax"", ""operand_to_remove"": ""tax_percent_num"", ""original_operands"": [""percent_factor"", ""tax_percent_num"", ""weekly_income""]}",data/conceptual-error-candidates/tier2/801/google_gemini-2.5-flash_incomplete_calculation_income_tax_.json,4,1,0.25,early,yewei
1124,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,blouses_in_hamper,9.0,900,-213468370419990811,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""blouses_in_hamper"", ""operand_to_remove"": ""percent_factor"", ""original_operands"": [""blouses_hamper_percent_num"", ""percent_factor"", ""total_blouses""]}",data/conceptual-error-candidates/tier2/1124/google_gemini-2.5-flash_incomplete_calculation_blouses_in_hamper_.json,4,1,0.25,early,ling
2300,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,josh_monthly_hours,160,32,743858884115344985,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""josh_monthly_hours"", ""operand_to_remove"": ""days_per_week"", ""original_operands"": [""days_per_week"", ""josh_hours_per_day"", ""weeks_per_month""]}",data/conceptual-error-candidates/tier2/2300/google_gemini-2.5-flash_incomplete_calculation_josh_monthly_hours_.json,5,1,0.2,early,ali
2889,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,yes_responses,166.0,2.0,495533055129466522,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""yes_responses"", ""operand_to_remove"": ""yes_rsvp_percent_num"", ""original_operands"": [""percent_factor"", ""total_guests"", ""yes_rsvp_percent_num""]}",data/conceptual-error-candidates/tier2/2889/google_gemini-2.5-flash_incomplete_calculation_yes_responses_.json,4,1,0.25,early,yewei
4583,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,total_pizzas,3,2,6883294307153954342,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_pizzas"", ""operand_to_remove"": ""pizzas_for_parents"", ""original_operands"": [""pizzas_for_daughter"", ""pizzas_for_parents"", ""pizzas_for_son""]}",data/conceptual-error-candidates/tier2/4583/google_gemini-2.5-flash_incomplete_calculation_total_pizzas_.json,5,1,0.2,early,mauro
5067,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,slab_volume,5000.0,50.0,-466586075482808034,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""slab_volume"", ""operand_to_remove"": ""slab_length"", ""original_operands"": [""slab_height"", ""slab_length"", ""slab_width""]}",data/conceptual-error-candidates/tier2/5067/google_gemini-2.5-flash_incomplete_calculation_slab_volume_.json,4,1,0.25,early,arvind
6792,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,labrador_gain_weight,10.0,1000,-2183470680313292363,2025-07-21,12:32:42,"{""type"": ""incomplete_calculation"", ""target_variable"": ""labrador_gain_weight"", ""operand_to_remove"": ""percent_factor"", ""original_operands"": [""labrador_start_weight"", ""percent_factor"", ""weight_gain_percent_num""]}",data/conceptual-error-candidates/tier2/6792/google_gemini-2.5-flash_incomplete_calculation_labrador_gain_weight_.json,5,1,0.2,early,ling
7341,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,total_area_mowed,900,300,697927279407840908,2025-07-21,12:32:42,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_area_mowed"", ""operand_to_remove"": ""num_lawns_mowed"", ""original_operands"": [""lawn_length"", ""lawn_width"", ""num_lawns_mowed""]}",data/conceptual-error-candidates/tier2/7341/google_gemini-2.5-flash_incomplete_calculation_total_area_mowed_.json,4,1,0.25,early,ling
604,tier1,google_gemini-2.5-flash,incomplete_calculation,L1,brothers_bday_second_half,4,2,-3405648521981703862,2025-07-21,12:32:39,"{""type"": ""incomplete_calculation"", ""target_variable"": ""brothers_bday_second_half"", ""operand_to_remove"": ""brothers_bday_december"", ""original_operands"": [""brothers_bday_december"", ""brothers_bday_november"", ""brothers_bday_october""]}",data/conceptual-error-candidates/tier1/604/google_gemini-2.5-flash_incomplete_calculation_brothers_bday_second_half_.json,4,1,0.25,early,ling
3188,tier1,google_gemini-2.5-flash,incomplete_calculation,L1,total_people,6,5,8102242373645418423,2025-07-21,12:32:39,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_people"", ""operand_to_remove"": ""tom_count"", ""original_operands"": [""parents_count"", ""siblings_count"", ""tom_count""]}",data/conceptual-error-candidates/tier1/3188/google_gemini-2.5-flash_incomplete_calculation_total_people_.json,4,1,0.25,early,mauro
3318,tier1,google_gemini-2.5-flash,incomplete_calculation,L1,fruits_last_night,8,5,-7942506389923160295,2025-07-21,12:32:39,"{""type"": ""incomplete_calculation"", ""target_variable"": ""fruits_last_night"", ""operand_to_remove"": ""apples_last_night"", ""original_operands"": [""apples_last_night"", ""banana_last_night"", ""oranges_last_night""]}",data/conceptual-error-candidates/tier1/3318/google_gemini-2.5-flash_incomplete_calculation_fruits_last_night_.json,6,1,0.16666666666666666,early,ali
3556,tier1,google_gemini-2.5-flash,incomplete_calculation,L1,total_saved,112,91,2029801751498638988,2025-07-21,12:32:40,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_saved"", ""operand_to_remove"": ""saved_june"", ""original_operands"": [""saved_august"", ""saved_july"", ""saved_june""]}",data/conceptual-error-candidates/tier1/3556/google_gemini-2.5-flash_incomplete_calculation_total_saved_.json,4,1,0.25,early,arvind
4171,tier1,google_gemini-2.5-flash,incomplete_calculation,L1,normal_car_time,24,20,3400169852269494711,2025-07-21,12:32:40,"{""type"": ""incomplete_calculation"", ""target_variable"": ""normal_car_time"", ""operand_to_remove"": ""tire_clean_time"", ""original_operands"": [""body_wash_time"", ""tire_clean_time"", ""wax_time"", ""window_wash_time""]}",data/conceptual-error-candidates/tier1/4171/google_gemini-2.5-flash_incomplete_calculation_normal_car_time_.json,4,1,0.25,early,ling
4525,tier1,google_gemini-2.5-flash,incomplete_calculation,L1,total_dog_nails,64,16,3277666525168446852,2025-07-21,12:32:40,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_dog_nails"", ""operand_to_remove"": ""num_dogs"", ""original_operands"": [""legs_per_dog"", ""nails_per_dog_foot"", ""num_dogs""]}",data/conceptual-error-candidates/tier1/4525/google_gemini-2.5-flash_incomplete_calculation_total_dog_nails_.json,4,1,0.25,early,yewei
4794,tier1,google_gemini-2.5-flash,incomplete_calculation,L1,yuri_sum,11,9,8077564522896998947,2025-07-21,12:32:40,"{""type"": ""incomplete_calculation"", ""target_variable"": ""yuri_sum"", ""operand_to_remove"": ""yuri_die_1"", ""original_operands"": [""yuri_die_1"", ""yuri_die_2"", ""yuri_die_3""]}",data/conceptual-error-candidates/tier1/4794/google_gemini-2.5-flash_incomplete_calculation_yuri_sum_.json,4,1,0.25,early,ling
5087,tier1,google_gemini-2.5-flash,incomplete_calculation,L1,regular_cakes_total,19,13,9198839599600856919,2025-07-21,12:32:40,"{""type"": ""incomplete_calculation"", ""target_variable"": ""regular_cakes_total"", ""operand_to_remove"": ""cheesecakes_regular"", ""original_operands"": [""cheesecakes_regular"", ""muffins_regular"", ""red_velvet_cakes_regular""]}",data/conceptual-error-candidates/tier1/5087/google_gemini-2.5-flash_incomplete_calculation_regular_cakes_total_.json,6,1,0.16666666666666666,early,yewei
