line,eqn,type
In total it takes him 168 minutes to get to the store because 120 + 24 + 24 = 168,120+24+24=168,correct
"There are 6 dozen cupcakes,12 single cakes and 18 pans of brownies for a total of 6+12+18 = 36 orders",6+12+18=36,correct
He found 12 and his grandparents gave him three times that amount so he got 12*3 = 36 cans from his grandparents,12*3=36,correct
The proportion of his income spent is .9 because 36 / 40 = .9,36/40=.9,correct
He did 5 races in the ocean because 10 / 2 = 5,10/2=5,correct
Joe spends 3*5 = 15 on honey.,3*5=15,correct
The soda was on sale for $3.00 per 6 pack and he was buying 5 packs so 3*5 = $15.00 for soda,3*5=15.00,correct
Then subtract the total Amazon cost from the total gas station cost to find the savings: $42 - $10 = $32,42-10=32,correct
The cookies cost 3 x .5 = 1.5,3*.5=1.5,correct
He will write for 120 hours because 2 x 60 = 120,2*60=120,correct
The average price of each DVD is $45/15 = $3.00 each,45/15=3.00,correct
Then find how many gallons of gas he needs to buy: 600 miles / 20 miles/gallon = 30 gallons,600/20=30,correct
The percentage that are green is 60 because .6 x 100% = 60%,60=60,correct
Weng earns 12/60 = $0.2 per minute.,12/60=0.2,correct
He spent $1 on lollipops because 4 x .25 = 1,4*.25=1,correct
He spends 30 bottle caps on cars because 40 x .75 = 30,40*.75=30,correct
The total amount of money Bowen spent is $14 + $6 = $20,14+6=20,correct
His speed means he can do 10/100=.1 minute per piece,10/100=.1,correct
So he loses an average of 1.5*8=$12,1.5*8=12,correct
24 students want to eat donuts because 30 x .8 = 24,30*.8=24,correct
He has earned $40 from starting the walks because 20 x 2 = 40,20*2=40,correct
Then figure out how many lizards 80 gallons of water is worth: 80 gallons * .6 lizards/gallon = 48 lizards,80*.6=48,correct
First find the number of cups of potatoes Carrie adds per one cup of turnips: 5 cups potatoes / 2 cups turnips = 2.5 cups potatoes/cup turnips,5/2=2.5,correct
The old budget was $75 because 15 x 5 = 75,15*5=75,correct
Labor cost is .5*60=30 dollars per hour,.5*60=30,correct
These students pay $7 for their lunch because 210 / 30 =7,210/30=7,correct
The average would've been 4 minutes because 8 / 2 = 4,8/2=4,correct
Then multiply that cost by the number of people to find the total cost of entrees and tickets: $60/person * 6 people = $360,60*6=360,correct
He buys 2 packs of sandwich meat at $5.00 a pack so 2*5.00 = $10.00,2*5=10.00,correct
His ice maker will cost $24 to run because 16 x 1.5 = 24,16*1.5=24,correct
There are 7 days in a week and she needs enough bottles to last for 2 weeks so that's 7*2 = 14 days,7*2=14,correct
"Therefore, the total hours she will spend to pass the whole mountain is 4 + 2 = 6 hours.",4+2=6,correct
That means he has 60-6=54 bars after taxes,60-6=54,correct
Dawn earns $4000 a month because 48000 / 12 = 4000,48000/12=4000,correct
The account now has $690 because 600 + 90 = 690,600+90=690,correct
"Each camper will eat 2 pounds of fish, so Patricia and Jeffrey can feed 44 / 2 = 22 campers.",44/2=22,correct
"So, her average score is 273/3 = 91.",273/3=91,correct
"Altogether, Jim has 200g + 100g + 100g = 400g of flour.",200+100+100=400,correct
The total for the three days is 150+100+50 = 300 tins.,150+100+50=300,correct
After that Sally has 14+12=26 fries,14+12=26,correct
The total number of minutes he studies the three subjects is 60 + 80 + 40 = 180 minutes.,60+80+40=180,correct
Each person still needs $2850/6 = $475,2850/6=475,correct
"So, he gave 50 - 35 = 15 kilograms of rice to Mr. Everest.",50-35=15,correct
Tim has 8*2=16 pencils,8*2=16,correct
Then find the total cost of the ballet slippers: $40/pair * 5 pairs = $200,40*5=200,correct
"Chelsea used 70% of the remaining candles, a total of 70/100*20 = 14 candles.",70/100*20=14,correct
Peter has 30/5 = 6 nickels.,30/5=6,correct
Mike spent that day $30 + $30 + $90 = $150.,30+30+90=150,correct
September = 8 * 30 = 240 hours,8*30=240,correct
The total cost of the iPhone will cost Carrie $800 - $240 = $560.,800-240=560,correct
"He needs to replace lights in the bedroom, bathroom, kitchen and basement so 2+1+1+4 = 8 lightbulbs",2+1+1+4=8,correct
"Thus, she should spend 540 minutes/10 days = 54 minutes per day reading.",540/10=54,correct
Then do the same for the total number of stitches in the unicorns: 3 unicorns * 180 stitches/unicorn = 540 stitches,3*180=540,correct
A total of 240-80 = 160 episodes were remaining for Cesar to finish the series,240-80=160,correct
Multiply the remaining number of gallons by the car's gas mileage. 5 gallons x 20 miles/gallon = 100 miles,5*20=100,correct
The number of remaining green leaves on the plants is 54 - 18 = 36.,54-18=36,correct
Jan has 65 - 17 = 48 gallons of water remaining after cleaning the cars and watering the plants.,65-17=48,correct
The total number of knives in her kitchen is now 24+8 = 32 knives,24+8=32,correct
Her total cost is $123 because 10 + 55 + 25 + 33 = 123,10+55+25+33=123,correct
So he makes $9 x 7 = $63 on each workday.,9*7=63,correct
That means he drinks 64/4 = 16 ounces of coffee a day,64/4=16,correct
Penny has bought 240 / 6 = 40 pounds of honey,240/6=40,correct
"After the addition of the 10 new cans, there are now 24+10=34 trash cans in Veteran's Park.",24+10=34,correct
On Thursday Buddy has a total of 27+5 = 32 baseball cards.,27+5=32,correct
"For the other half of the cupcakes, Stephanie wants to use 2 candles. Therefore, she will need (24/2)*2 =24 candles for this half of the cupcakes.",24/2*2=24,correct
He can only shred 6 pages at a time so it will take him 264/6 = 44 units,264/6=44,correct
"In total, from Monday to Wednesday, Mack writes 2 + 3 + 5 = 10 pages",2+3+5=10,correct
Then find the total sodium in the recipe by adding the sodium from the cheese and the salt: 100 mg + 200 mg = 300 mg,100+200=300,correct
"If Mary weighs 160 lbs, Jamison weighs 160 lbs + 20 lbs = 180 lbs.",160+20=180,correct
First find the total cost of the shirt: $20 * 2 = $40,20*2=40,correct
"So, all of them caught a total of 10 + 30 + 60 = 100 fish.",10+30+60=100,correct
On Tuesday Kendra saw 5 sites x 5 birds/site = 25 different birds,5*5=25,correct
"When you add up all of the candy, he had 5 Kit-Kats, 15 Hershey kisses, 10 Baby Ruths, 5 Reese cups, 8 Nerds and 6 lollipops so 5+15+10+5+8+6 = 49 pieces of candy",5+15+10+5+8+6=49,correct
"So, Dr. Jones has $3300 - $1020 = $2280 left",3300-1020=2280,correct
So there will be $700/$100 = 7 pieces of $100 bills.,700/100=7,correct
"First, we need to find the average number of apples per person. We start by adding the three totals together, getting 20+60+40=120 apples",20+60+40=120,correct
"Dan takes 58 licks, Michael takes 63, Sam takes 70, David takes 70 and Lance takes 39 for a total of 58+63+70+70+39 = 300 licks",58+63+70+70+39=300,correct
After sharing them equally each person will get 60 marbles / 4 people = 15 marbles/person,60/4=15,correct
The average number of hours Harry sleeps in one night is 40 / 5 = 8 hours,40/5=8,correct
So he works 12/3=4 hours,12/3=4,correct
So the average distance traveled per day is 51/3 = 17 miles.,51/3=17,correct
"If Leonel has seven more dogs than Anthony, then he has 4 dogs + 7 dogs = 11 dogs",7+4=11,correct
"If Adelaide bought 30 ducks, Ephraim bought 30 ducks / 2 = 15 ducks.",30/2=15,correct
"Then add the distance between the first two stores, the distance from Jason's house to the first store, and the distance from the last store to work: 10 miles + 6 miles + 4 miles + 4 miles = 24 miles",10+6+4+4=24,correct
The bounce house cost 100*3=$300 per hour,100*3=300,correct
There are 7 adults + Shonda (1) + 2 of Shonda's kids + 10 of their friends = 20 people at the Easter egg hunt.,7+1+2+10=20,correct
Three candy bars cost ¢25 x 3 = ¢75.,25*3=75,correct
So the total dancing time is 8+12=20 hours,8+12=20,correct
The company pays for the 2 together: $1440 + $540 = $1980.,1440+540=1980,correct
He made $1150.00 and will save 40% so he saves 1150*.40 = $460.00,1150*.40=460.00,correct
The total bill comes to $10 + $13 + $17 = $40.,10+13+17=40,correct
There are 16 - 10 = 6 pizza pieces uneaten.,16-10=6,correct
Number of full day preschoolers is 80 - 20 = 60 students.,80-20=60,correct
"William used two days to the limit, which means 6 * 2 = 12 hours of horse riding.",6*2=12,correct
"Therefore, Donny has to pay $9 + $12 + $24 = $45 for all the apples.",9+12+24=45,correct
She now has 56 pairs of shoes and buys 6 more pairs so her collection is now 56+6 = 62 pairs of shoes,56+6=62,correct
They have 26 quarters because 6.5 / .25 = 26,6.5/.25=26,correct
"So after the purchase, she will be left with $22 - $4 - $7 = $11.",22-4-7=11,correct
Then multiply that number by 60% to find the number of records actually on the shelves: 240 records * 60% = 144 records,240*60*.01=144,correct
The cost of a regularly-priced uniform is $7.50 for the shirt + $15 for pants + $4.50 for socks = $27.,7.5+15+4.5=27,correct
Then add the weight-based charge to the flat fee to find the total cost: $4.00 + $5.00 = $9.00,4+5=9.00,correct
So he has to pay 700-560=$140,700-560=140,correct
Now subtract the house's value after the rail project from the maximum value to find how much value the improvements can have: $750000 - $500000 = $250000,750000-500000=250000,correct
So he burns 600*1=600 calories per day,600=600,correct
The cow initially weighs 400*1.5=600 pounds,400*1.5=600,correct
The other 2 islands will be explored by walking 25 miles x 3 days = 75 miles.,25*3=75,correct
"Last week, Arman earned 35 hours x $10/hour = $350.",35*10=350,correct
These fish eat 15 ounces a day because 10 x 1.5 = 15,10*1.5=15,correct
"We start with the initial numbers of students, 40 and multiply that by .8 for 40 * 0.8 = 32 who own puppies.",40*0.8=32,correct
So they use 4*7=28 ounces of coffee a week,4*7=28,correct
So it cost 51*30=$1530 to fix everything,51*30=1530,correct
The shakes are 3 * 300 = 900 calories,3*300=900,correct
The total is 60+90=150 boxes.,60+90=150,correct
So it took him 3+1.5+.5=5 years for everything,3+1.5+.5=5,correct
He also put a down payment of $5000 on the car so the total price of the car is $5000 + $15000 = $20000 car price,5000+15000=20000,correct
Lucius spends $10 x 7 = $70 for the ingredients every week.,10*7=70,correct
"Hence, James spent a total of $5 + $1 = $6.",5+1=6,correct
She also paid 3 x $4 = $12 for the boxes of hair color.,3*4=12,correct
"So, Hannah has $92 - $13 = $79.",92-13=79,correct
The total cost for the 100 bears is 100*$3.50 = $350,100*3.5=350,correct
"The second station Tara stops at charges $3.50 for a gallon of gas, so for her 12-gallon tank she spends 12*3.5= 42 dollars",12*3.5=42,correct
Now multiply the cost per student by the number of students to find the total cost before the discount: 30 students * $12.00/student = $360.00,30*12=360.00,correct
So the cost of building 4 birdhouses is at 4 * 22 = $88.,4*22=88,correct
"For 6 slices of pizza, she will pay 6 slices * $1/slice = $6",6*1=6,correct
The cost was 15*3=$45,15*3=45,correct
A week's worth of rawhide bones cost 1*2*7=14 dollars.,1*2*7=14,correct
So he needs 360*1.5=540 tablespoons of jello mix.,360*1.5=540,correct
Each of the other pills cost 1.50+5.50 = 7 dollars each.,1.50+5.50=7,correct
Insurance covered 1000*.8=$800,1000*.8=800,correct
In the second year it has $142 in it because 120 + 12 + 10 = 142,120+12+10=142,correct
The backpacks are currently 20% off so that's 100*.20 = $20.00 off,100*.20=20.00,correct
That means his front squat is 250*.8=200 kg,250*.8=200,correct
It cost 200*2000=$400000,200*2000=400000,correct
Then multiply that number by 20% to find the amount of the discount: $8000 * .2 = $1600,8000*.2=1600,correct
The second flight had 20*2=40 steps,20*2=40,correct
15 + 20 = 35 pounds,15+20=35,correct
Add this to the amount she had left over to find the amount of money she brought at the beginning: $132 + $35 = $167,132+35=167,correct
"So, he needs $61 - $50 = $11 more to buy all those for his mom.",61-50=11,correct
"We know that Kevin found 5, Bonnie found 13 and George found 9 so 5+13+9 = 27",5+13+9=27,correct
"Hence, a machine that Sue oversees can produce 30 cans x 16 = 480 cans of soda in 8 hours.",30*16=480,correct
"Add to that his 4 hours of small group work, 4 + 10 = 14 hours a week.",4+10=14,correct
He gave out a total of 15+23+30 = 68 cookies,15+23+30=68,correct
He dropped 2 eggs so 11-2 = 9 eggs left,11-2=9,correct
There are 30+7+13=50 pieces of bread after the first duck ate,30+7+13=50,correct
"She had 8 records, received 12 and bought 30 for a total of 8+12+30 = 50 records",8+12+30=50,correct
He sold 10+12+9=31 bicycles.,10+12+9=31,correct
"10 cars are parked around for the party, 10 x 4 wheels each car = 40 wheels total.",10*4=40,correct
Bella receives 2 x 12 = 24 roses from her parents.,2*12=24,correct
Marley has a total of 10+21 = 31 fruits,10+21=31,correct
"After giving away four of her cats, Susan has 21 - 4 = 17.",21-4=17,correct
"If Mariam remains with 30 marbles after giving her brother 60 marbles, she had 30+60 = 90 marbles.",30+60=90,correct
A graphing calculator costs $16 x 3 = $48.,16*3=48,correct
"In a day, the booth made a total of $150 + $50 = $200.",150+50=200,correct
"Together, Dorothy found 24 red and 33 blue so she had 24+33 = 57 pieces of sea glass.",24+33=57,correct
"Therefore, The tailor purchased 90 + 100 + 85 = 275 buttons.",90+100+85=275,correct
She took 30 - 10 = 20 photos of the scenery.,30-10=20,correct
So the total cost of everything was 3+6+9=$18,3+6+9=18,correct
The third stack has 10 blocks - 6 blocks = 4 blocks.,10-6=4,correct
"While in Bali, Palmer took 50 pictures in the first week and thus 2 * 50 photos = 100 photos in the second week.",50*2=100,correct
Lucas said that there are 3 + 3 + 3 = 9 foreign exchange students who are not in the classroom.,3+3+3=9,correct
"So, Sean scored 14 - 2 = 12 points.",14-2=12,correct
"Then add up the time for the base coat, top coat, and color coats: 6 minutes + 2 minutes + 5 minutes = 13 minutes",6+2+5=13,correct
He can also make 20 x 4 = 80 figurines out of all the blocks of butternut wood.,20*4=80,correct
He can chop 9 x 4 = 36 carrots a week.,9*4=36,correct
"Thus, he needs 16 + 12 + 9 = 37 pieces of chicken.",16+12+9=37,correct
The cost to plant the flowers is $9 + $29 + $7 = $45.,9+29+7=45,correct
"Since the rectangular flower bed has 2 equal lengths, then it needs 7 x 2 = 14 meters of fence.",7*2=14,correct
"The second competitor jumped one foot farther than the first competitor, for a distance of 22+1=23 feet.",22+1=23,correct
"Before her first cousin arrived, there were 5 + 2 = 7 sandwiches.",5+2=7,correct
Gab scored 20 x 2 = 40 points.,20*2=40,correct
"Therefore, Bruce can make 75 x 7 days in a week = 525 batches of pizza dough in a week.",75*7=525,correct
He spent a total of $200+$300=$500,200+300=500,correct
In total Thomas would train on 30 + 12 = 42 days.,30+12=42,correct
"Over 7 days, without spilling anything, Remi drinks 60 ounces x 7 days = 420 ounces.",60*7=420,correct
"Together, Darren and Clavin bought 168+96=264 crackers.",168+96=264,correct
First find the total number of people by adding the number of passengers and flight crew: 30 people + 5 people = 35 people,30+5=35,correct
"Gumball's total water intake on Monday, Thursday, and Saturday is 9 x 3 = 27 liters.",9*3=27,correct
The total amount of water loss so far is 100000+160000 = 260000 gallons,100000+160000=260000,correct
Then find the total number of legos on the top level: 5 legos * 5 legos = 25 legos,5*5=25,correct
Now double that amount for being in a school zone: $140 * 2 = $280,140*2=280,correct
"Whitney is buying 2 posters for $5 each, so the posters will cost 2*$5= $10 total cost for posters.",2*5=10,correct
Tina has 17-10 = 7 tangerines.,17-10=7,correct
"After his mom gives him stuffed animals, Willy has 10 + 2 = 12 stuffed animals",10+2=12,correct
