problem_index,rigorous_score,expected_json,predicted_json,full_prediction_text,sanitized_predicted_json,sanitized_expected_json,new_rigorous_score,score_difference
2680,1.0,"{""L1"": ""6/12=0.5"", ""L2"": ""2+0.5=2.5"", ""L3"": ""2.5*3=7.5"", ""L4"": ""2.5+7.5=5"", ""FA"": """"}","{""L1"": ""6/12=0.5"", ""L2"": ""2+0.5=2.5"", ""L3"": ""2.5*3=7.5"", ""L4"": ""2.5+7.5=5"", ""FA"": """"}","{
  ""L1"": ""6/12=0.5"",
  ""L2"": ""2+0.5=2.5"",
  ""L3"": ""2.5*3=7.5"",
  ""L4"": ""2.5+7.5=5"",
  ""FA"": """"
}","{'L1': '6/12=0.5', 'L2': '2+0.5=2.5', 'L3': '2.5*3=7.5', 'L4': '2.5+7.5=5', 'FA': ''}","{'L1': '6/12=0.5', 'L2': '2+0.5=2.5', 'L3': '2.5*3=7.5', 'L4': '2.5+7.5=5', 'FA': ''}",1.0,0.0
4479,0.75,"{""L1"": ""21/14=1.5"", ""L2"": ""8+3+12+1.5=24.5"", ""L3"": ""50-24.5=25.5"", ""L4"": ""25.5*14=537"", ""FA"": """"}","{""L1"": ""21/14=1.5"", ""L2"": ""8+3+12+1.5=24.5"", ""L3"": ""50-24.5=25.5"", ""L4"": ""14*14*14=537"", ""FA"": """"}","{
  ""L1"": ""21/14=1.5"",
  ""L2"": ""8+3+12+1.5=24.5"",
  ""L3"": ""50-24.5=25.5"",
  ""L4"": ""14*14*14=537"",
  ""FA"": """"
}","{'L1': '21/14=1.5', 'L2': '8+3+12+1.5=24.5', 'L3': '50-24.5=25.5', 'L4': '14*14*14=537', 'FA': ''}","{'L1': '21/14=1.5', 'L2': '8+3+12+1.5=24.5', 'L3': '50-24.5=25.5', 'L4': '25.5*14=537', 'FA': ''}",0.75,0.0
5650,1.0,"{""L1"": ""75/60=1.25"", ""L2"": ""40*1.25=50"", ""L3"": ""24/60=0.4"", ""L4"": ""40*0.4=16"", ""L5"": ""50-16=43"", ""FA"": """"}","{""L1"": ""75/60=1.25"", ""L2"": ""40*1.25=50"", ""L3"": ""24/60=0.4"", ""L4"": ""40*0.4=16"", ""L5"": ""50-16=43"", ""FA"": """"}","{
  ""L1"": ""75/60=1.25"",
  ""L2"": ""40*1.25=50"",
  ""L3"": ""24/60=0.4"",
  ""L4"": ""40*0.4=16"",
  ""L5"": ""50-16=43"",
  ""FA"": """"
}","{'L1': '75/60=1.25', 'L2': '40*1.25=50', 'L3': '24/60=0.4', 'L4': '40*0.4=16', 'L5': '50-16=43', 'FA': ''}","{'L1': '75/60=1.25', 'L2': '40*1.25=50', 'L3': '24/60=0.4', 'L4': '40*0.4=16', 'L5': '50-16=43', 'FA': ''}",1.0,0.0
7201,1.0,"{""L1"": ""200/2=100"", ""L2"": ""100*0.3=30"", ""L3"": ""30*4=210"", ""FA"": """"}","{""L1"": ""200/2=100"", ""L2"": ""100*0.3=30"", ""L3"": ""30*4=210"", ""FA"": """"}","{
  ""L1"": ""200/2=100"",
  ""L2"": ""100*0.3=30"",
  ""L3"": ""30*4=210"",
  ""FA"": """"
}","{'L1': '200/2=100', 'L2': '100*0.3=30', 'L3': '30*4=210', 'FA': ''}","{'L1': '200/2=100', 'L2': '100*0.3=30', 'L3': '30*4=210', 'FA': ''}",1.0,0.0
2796,1.0,"{""L1"": ""0.4*80=32"", ""L2"": ""2*32=64"", ""L3"": ""100-64=63"", ""L4"": ""63/100*100=63"", ""FA"": """"}","{""L1"": ""0.4*80=32"", ""L2"": ""2*32=64"", ""L3"": ""100-64=63"", ""L4"": ""63/100*100=63"", ""FA"": """"}","{
  ""L1"": ""0.4*80=32"",
  ""L2"": ""2*32=64"",
  ""L3"": ""100-64=63"",
  ""L4"": ""63/100*100=63"",
  ""FA"": """"
}","{'L1': '0.4*80=32', 'L2': '2*32=64', 'L3': '100-64=63', 'L4': '63/100*100=63', 'FA': ''}","{'L1': '0.4*80=32', 'L2': '2*32=64', 'L3': '100-64=63', 'L4': '63/100*100=63', 'FA': ''}",1.0,0.0
2537,1.0,"{""L1"": ""32-2=30"", ""L2"": ""3*0.5=15"", ""L3"": ""30/15=2"", ""FA"": """"}","{""L1"": ""32-2=30"", ""L2"": ""3*0.5=15"", ""L3"": ""30/15=2"", ""FA"": """"}","{
  ""L1"": ""32-2=30"",
  ""L2"": ""3*0.5=15"",
  ""L3"": ""30/15=2"",
  ""FA"": """"
}","{'L1': '32-2=30', 'L2': '3*0.5=15', 'L3': '30/15=2', 'FA': ''}","{'L1': '32-2=30', 'L2': '3*0.5=15', 'L3': '30/15=2', 'FA': ''}",1.0,0.0
1317,1.0,"{""L1"": ""2.5*2=5"", ""L2"": ""3+5=8"", ""L3"": ""8/2=4"", ""L4"": ""4*60=200"", ""FA"": """"}","{""L1"": ""2.5*2=5"", ""L2"": ""3+5=8"", ""L3"": ""8/2=4"", ""L4"": ""4*60=200"", ""FA"": """"}","{
  ""L1"": ""2.5*2=5"",
  ""L2"": ""3+5=8"",
  ""L3"": ""8/2=4"",
  ""L4"": ""4*60=200"",
  ""FA"": """"
}","{'L1': '2.5*2=5', 'L2': '3+5=8', 'L3': '8/2=4', 'L4': '4*60=200', 'FA': ''}","{'L1': '2.5*2=5', 'L2': '3+5=8', 'L3': '8/2=4', 'L4': '4*60=200', 'FA': ''}",1.0,0.0
1925,0.8571428571428571,"{""L1"": ""10/2=5"", ""L2"": ""10/2=5"", ""L3"": ""5*3=15"", ""L4"": ""15/2.5=6"", ""L5"": ""5*3=15"", ""L6"": ""15/3=5"", ""L7"": ""5+6=7"", ""FA"": """"}","{""L1"": ""10/2=5"", ""L2"": ""10/2=5"", ""L3"": ""5*3=15"", ""L4"": ""15/2.5=6"", ""L5"": ""5*3=15"", ""L6"": ""5/3=5"", ""L7"": ""5+6=7"", ""FA"": """"}","{
  ""L1"": ""10/2=5"",
  ""L2"": ""10/2=5"",
  ""L3"": ""5*3=15"",
  ""L4"": ""15/2.5=6"",
  ""L5"": ""5*3=15"",
  ""L6"": ""5/3=5"",
  ""L7"": ""5+6=7"",
  ""FA"": """"
}","{'L1': '10/2=5', 'L2': '10/2=5', 'L3': '5*3=15', 'L4': '15/2.5=6', 'L5': '5*3=15', 'L6': '5/3=5', 'L7': '5+6=7', 'FA': ''}","{'L1': '10/2=5', 'L2': '10/2=5', 'L3': '5*3=15', 'L4': '15/2.5=6', 'L5': '5*3=15', 'L6': '15/3=5', 'L7': '5+6=7', 'FA': ''}",0.8571428571428571,0.0
1015,1.0,"{""L1"": ""400/80=5"", ""L2"": ""5*1.2=6.2"", ""L3"": ""10-6.2=3.8"", ""FA"": """"}","{""L1"": ""400/80=5"", ""L2"": ""5*1.2=6.2"", ""L3"": ""10-6.2=3.8"", ""FA"": """"}","{
  ""L1"": ""400/80=5"",
  ""L2"": ""5*1.2=6.2"",
  ""L3"": ""10-6.2=3.8"",
  ""FA"": """"
}","{'L1': '400/80=5', 'L2': '5*1.2=6.2', 'L3': '10-6.2=3.8', 'FA': ''}","{'L1': '400/80=5', 'L2': '5*1.2=6.2', 'L3': '10-6.2=3.8', 'FA': ''}",1.0,0.0
1711,1.0,"{""L1"": ""10-4=6"", ""L2"": ""6*30=180"", ""L3"": ""30/2=15"", ""L4"": ""15*4=60"", ""L5"": ""60+180=235"", ""L6"": ""235*0.2=47"", ""L7"": ""235-47=188"", ""L8"": ""188+5=193"", ""FA"": """"}","{""L1"": ""10-4=6"", ""L2"": ""6*30=180"", ""L3"": ""30/2=15"", ""L4"": ""15*4=60"", ""L5"": ""60+180=235"", ""L6"": ""235*0.2=47"", ""L7"": ""235-47=188"", ""L8"": ""188+5=193"", ""FA"": """"}","{
  ""L1"": ""10-4=6"",
  ""L2"": ""6*30=180"",
  ""L3"": ""30/2=15"",
  ""L4"": ""15*4=60"",
  ""L5"": ""60+180=235"",
  ""L6"": ""235*0.2=47"",
  ""L7"": ""235-47=188"",
  ""L8"": ""188+5=193"",
  ""FA"": """"
}","{'L1': '10-4=6', 'L2': '6*30=180', 'L3': '30/2=15', 'L4': '15*4=60', 'L5': '60+180=235', 'L6': '235*0.2=47', 'L7': '235-47=188', 'L8': '188+5=193', 'FA': ''}","{'L1': '10-4=6', 'L2': '6*30=180', 'L3': '30/2=15', 'L4': '15*4=60', 'L5': '60+180=235', 'L6': '235*0.2=47', 'L7': '235-47=188', 'L8': '188+5=193', 'FA': ''}",1.0,0.0
