index,model,variable,role,type,value
71,openai_gpt-4.1-mini,crafts_sold,argument,int,3
71,openai_gpt-4.1-mini,price_per_craft,argument,int,12
71,openai_gpt-4.1-mini,extra_money,argument,int,7
71,openai_gpt-4.1-mini,deposit_amount,argument,int,18
71,openai_gpt-4.1-mini,total_sales,intermediate,int,36
71,openai_gpt-4.1-mini,total_money,intermediate,int,43
71,openai_gpt-4.1-mini,money_left,intermediate,int,25
71,openai_gpt-4.1-mini,answer,final,int,25
71,google_gemini-2.0-flash-thinking-exp,price_per_craft,argument,int,12
71,google_gemini-2.0-flash-thinking-exp,crafts_sold,argument,int,3
71,google_gemini-2.0-flash-thinking-exp,extra_tip,argument,int,7
71,google_gemini-2.0-flash-thinking-exp,deposit_amount,argument,int,18
71,google_gemini-2.0-flash-thinking-exp,initial_earnings,intermediate,int,36
71,google_gemini-2.0-flash-thinking-exp,total_earnings,intermediate,int,43
71,google_gemini-2.0-flash-thinking-exp,remaining_cash,intermediate,int,25
71,google_gemini-2.0-flash-thinking-exp,answer,final,int,25
71,google_gemini-2.5-flash-lite-preview-06-17,price_per_craft,argument,int,12
71,google_gemini-2.5-flash-lite-preview-06-17,crafts_sold,argument,int,3
71,google_gemini-2.5-flash-lite-preview-06-17,extra_money,argument,int,7
71,google_gemini-2.5-flash-lite-preview-06-17,money_deposited,argument,int,18
71,google_gemini-2.5-flash-lite-preview-06-17,total_from_crafts,intermediate,int,36
71,google_gemini-2.5-flash-lite-preview-06-17,total_before_deposit,intermediate,int,43
71,google_gemini-2.5-flash-lite-preview-06-17,money_left,intermediate,int,25
71,google_gemini-2.5-flash-lite-preview-06-17,answer,final,int,25
71,google_gemini-2.5-flash,craft_price,argument,int,12
71,google_gemini-2.5-flash,crafts_sold,argument,int,3
71,google_gemini-2.5-flash,extra_money_from_customer,argument,int,7
71,google_gemini-2.5-flash,deposit_amount,argument,int,18
71,google_gemini-2.5-flash,sales_from_crafts,intermediate,int,36
71,google_gemini-2.5-flash,total_money_before_deposit,intermediate,int,43
71,google_gemini-2.5-flash,money_left_after_deposit,intermediate,int,25
71,google_gemini-2.5-flash,answer,final,int,25
