index,tier,question,correct_answer,wrong_answer,error_type,explanation,erroneous_line_number,erroneous_line,erroneous_line_eqn,correct_answer_mapping,wrong_answer_mapping,correct_eqn_mapping,wrong_eqn_mapping,correct_answer_length,wrong_answer_length,source,error_subtype,split
4966,tier4,"Paul made two bank transfers of $90 and $60 respectively. A service charge of 2% was added to each transaction. If the second transaction was reversed (without the service charge), what is his account balance now if it was $400 before he made any of the transfers?","2% of $90 is (2/100)*$90 = $1.8
2% of $60 is (2/100)*$60 = $1.2
The second transaction was reversed without the service charge so only a total of $90+$1.8+$1.2 = $93 was deducted from his account
He will have a balance of $400-$93 = $307
FINAL ANSWER: 307","2% of $90 is (2/100)*$90 = $1.8
2% of $60 is (2/100)*$60 = $1.2
The second transaction was reversed without the service charge so only a total of $90+$1.8+$1.2 = $39 was deducted from his account
He will have a balance of $400-$39 = $361
FINAL ANSWER: 361",computational_error,"The result of this computation should be 93, not 39. It appears two adjacent digits were swapped.",L3,The second transaction was reversed without the service charge so only a total of $90+$1.8+$1.2 = $39 was deducted from his account,90+1.8+1.2=39,"{
  ""L1"": ""2% of $90 is (2/100)*$90 = $1.8"",
  ""L2"": ""2% of $60 is (2/100)*$60 = $1.2"",
  ""L3"": ""The second transaction was reversed without the service charge so only a total of $90+$1.8+$1.2 = $93 was deducted from his account"",
  ""L4"": ""He will have a balance of $400-$93 = $307"",
  ""FA"": ""307""
}","{
  ""L1"": ""2% of $90 is (2/100)*$90 = $1.8"",
  ""L2"": ""2% of $60 is (2/100)*$60 = $1.2"",
  ""L3"": ""The second transaction was reversed without the service charge so only a total of $90+$1.8+$1.2 = $39 was deducted from his account"",
  ""L4"": ""He will have a balance of $400-$39 = $361"",
  ""FA"": ""361""
}","{
  ""L1"": ""(2/100)*90=1.8"",
  ""L2"": ""(2/100)*60=1.2"",
  ""L3"": ""90+1.8+1.2=93"",
  ""L4"": ""400-93=307"",
  ""FA"": """"
}","{
  ""L1"": ""(2/100)*90=1.8"",
  ""L2"": ""(2/100)*60=1.2"",
  ""L3"": ""90+1.8+1.2=39"",
  ""L4"": ""400-39=361"",
  ""FA"": """"
}",5,5,programmatic,generate_digit_transposition_error,train
2680,tier4,James decides to try and collect rare artifacts in the field.  He spends 6 months researching before going on a 2-year-long expedition for his first find.  The second artifact takes 3 times as long for the research and discovery.  How long did it take him to find both?,"The research took 6/12=.5 years
So it took 2+.5=2.5 years for the first artifact
It takes 2.5*3=7.5 years for the second
So in total it took 2.5+7.5=10 years to find both
FINAL ANSWER: 10","The research took 6/12=0.5 years
So it took 2+0.5=2.5 years for the first artifact
It takes 2.5*3=7.5 years for the second
So in total it took 2.5+7.5=5 years to find both
FINAL ANSWER: 5",computational_error,"The result of this computation should be 10, not 5. This appears to be a minor miscalculation.",L4,So in total it took 2.5+7.5=5 years to find both,2.5+7.5=5,"{
  ""L1"": ""The research took 6/12=.5 years"",
  ""L2"": ""So it took 2+.5=2.5 years for the first artifact"",
  ""L3"": ""It takes 2.5*3=7.5 years for the second"",
  ""L4"": ""So in total it took 2.5+7.5=10 years to find both"",
  ""FA"": ""10""
}","{
  ""L1"": ""The research took 6/12=0.5 years"",
  ""L2"": ""So it took 2+0.5=2.5 years for the first artifact"",
  ""L3"": ""It takes 2.5*3=7.5 years for the second"",
  ""L4"": ""So in total it took 2.5+7.5=5 years to find both"",
  ""FA"": ""5""
}","{
  ""L1"": ""6/12=.5"",
  ""L2"": ""2+0.5=2.5"",
  ""L3"": ""2.5*3=7.5"",
  ""L4"": ""2.5+7.5=10"",
  ""FA"": """"
}","{
  ""L1"": ""6/12=0.5"",
  ""L2"": ""2+0.5=2.5"",
  ""L3"": ""2.5*3=7.5"",
  ""L4"": ""2.5+7.5=5"",
  ""FA"": """"
}",5,5,programmatic,generate_off_by_n_error,test
3517,tier4,"Hayden eats 1 oz of mixed nuts as an evening snack.  He buys the bulk bag of mixed nuts that cost $25.00 a bag and holds 40 oz of mixed nuts.  There is currently a $5.00 coupon for this item.  How much will each serving of nuts cost, in cents, after the coupon is applied?","The nuts are $25.00 and he has a $5.00 coupon, so the nuts are on sale for $25-$5 = $20.00
He eats 1 oz of nuts every evening and the bag has 40 oz of nuts, so it has 40/1 = 40 1 oz servings
The nuts cost $20.00 and there are 40 servings per bag, so his snack is $20/40 = $0.50 per serving
FINAL ANSWER: 50","The nuts are $25 and he has a $5 coupon, so the nuts are on sale for $25-$5 = $16
He eats 1 oz of nuts every evening and the bag has 40 oz of nuts, so it has 40/1 = 40 1 oz servings
The nuts cost $16 and there are 40 servings per bag, so his snack is $16/40 = $0.4 per serving
FINAL ANSWER: 40",computational_error,"The result of this computation should be 20, not 16. This appears to be a minor miscalculation.",L1,"The nuts are $25 and he has a $5 coupon, so the nuts are on sale for $25-$5 = $16",25-5=16,"{
  ""L1"": ""The nuts are $25.00 and he has a $5.00 coupon, so the nuts are on sale for $25-$5 = $20.00"",
  ""L2"": ""He eats 1 oz of nuts every evening and the bag has 40 oz of nuts, so it has 40/1 = 40 1 oz servings"",
  ""L3"": ""The nuts cost $20.00 and there are 40 servings per bag, so his snack is $20/40 = $0.50 per serving"",
  ""FA"": ""50""
}","{
  ""L1"": ""The nuts are $25 and he has a $5 coupon, so the nuts are on sale for $25-$5 = $16"",
  ""L2"": ""He eats 1 oz of nuts every evening and the bag has 40 oz of nuts, so it has 40/1 = 40 1 oz servings"",
  ""L3"": ""The nuts cost $16 and there are 40 servings per bag, so his snack is $16/40 = $0.4 per serving"",
  ""FA"": ""40""
}","{
  ""L1"": ""25-5=20.00"",
  ""L2"": ""40/1=40"",
  ""L3"": ""20/40=0.50"",
  ""FA"": """"
}","{
  ""L1"": ""25-5=16"",
  ""L2"": ""40/1=40"",
  ""L3"": ""16/40=0.4"",
  ""FA"": """"
}",4,4,programmatic,generate_off_by_n_error,train
4479,tier4,"Bob grew corn in his garden this year and ended up with 50 bushels. This is way too much for him to eat, so he gave some of it away to his friends. His friend Terry took 8 bushels, while Jerry only took 3. He gave 12 bushels to his friend Linda, who runs a food pantry. His neighbor Stacy doesn't eat much corn, but she still accepted 21 ears of corn from him. If each bushel contained 14 ears of corn, how many ears of corn does Bob have left?","Stacy took 21 ears of corn, there are 14 ears to a bushel, so she took 21 ears / 14 ears/bushel = 1.5 bushels of corn.
In all, Bob gave away 8 bushels + 3 bushels + 12 bushels + 1.5 bushels = 24.5 bushels of corn.
This leaves him with 50 bushels - 24.5 bushels = 25.5 bushels of corn.
At 14 ears of corn per bushel, Bob has 25.5 bushels * 14 ears per bushel = 357 ears of corn.
FINAL ANSWER: 357","Stacy took 21 ears of corn, there are 14 ears to a bushel, so she took 21 ears / 14 ears/bushel = 1.5 bushels of corn.
In all, Bob gave away 8 bushels + 3 bushels + 12 bushels + 1.5 bushels = 24.5 bushels of corn.
This leaves him with 50 bushels - 24.5 bushels = 25.5 bushels of corn.
At 14 ears of corn per bushel, Bob has 25.5 bushels * 14 ears per bushel = 537 ears of corn.
FINAL ANSWER: 537",computational_error,"The result of this computation should be 357, not 537. It appears two adjacent digits were swapped.",L4,"At 14 ears of corn per bushel, Bob has 25.5 bushels * 14 ears per bushel = 537 ears of corn.",25.5*14=537,"{
  ""L1"": ""Stacy took 21 ears of corn, there are 14 ears to a bushel, so she took 21 ears / 14 ears/bushel = 1.5 bushels of corn."",
  ""L2"": ""In all, Bob gave away 8 bushels + 3 bushels + 12 bushels + 1.5 bushels = 24.5 bushels of corn."",
  ""L3"": ""This leaves him with 50 bushels - 24.5 bushels = 25.5 bushels of corn."",
  ""L4"": ""At 14 ears of corn per bushel, Bob has 25.5 bushels * 14 ears per bushel = 357 ears of corn."",
  ""FA"": ""357""
}","{
  ""L1"": ""Stacy took 21 ears of corn, there are 14 ears to a bushel, so she took 21 ears / 14 ears/bushel = 1.5 bushels of corn."",
  ""L2"": ""In all, Bob gave away 8 bushels + 3 bushels + 12 bushels + 1.5 bushels = 24.5 bushels of corn."",
  ""L3"": ""This leaves him with 50 bushels - 24.5 bushels = 25.5 bushels of corn."",
  ""L4"": ""At 14 ears of corn per bushel, Bob has 25.5 bushels * 14 ears per bushel = 537 ears of corn."",
  ""FA"": ""537""
}","{
  ""L1"": ""21/14=1.5"",
  ""L2"": ""8+3+12+1.5=24.5"",
  ""L3"": ""50-24.5=25.5"",
  ""L4"": ""25.5*14=357"",
  ""FA"": """"
}","{
  ""L1"": ""21/14=1.5"",
  ""L2"": ""8+3+12+1.5=24.5"",
  ""L3"": ""50-24.5=25.5"",
  ""L4"": ""25.5*14=537"",
  ""FA"": """"
}",5,5,programmatic,generate_digit_transposition_error,test
886,tier4,"Jack went to a supermarket with $100 and bought 4 bottles of water. Then his mother called him and asked him to buy twice as many bottles as he already bought. Each bottle cost $2. Finally, he also bought half a pound of cheese and 1 pound of cheese costs $10. How much money does Jack have remaining?","Jack's mother asked him to buy 2 * 4 = 8 bottles of water.
Thus Jack bought 4 + 8 = 12 bottles of water in total.
Altogether, the bottles of water cost 12 * $2 = $24.
The cheese cost 1/2 * $10 = $5.
So Jack spent $24 + $5 = $29 on water and cheese.
Since he started with $100, he now has $100 - $29 = $71 left.
FINAL ANSWER: 71","Jack's mother asked him to buy 2 * 4 = 8 bottles of water.
Thus Jack bought 4 + 8 = 12 bottles of water in total.
Altogether, the bottles of water cost 12 * $2 = $24.
The cheese cost 1/2 * $10 = $5.
So Jack spent $24 + $5 = $92 on water and cheese.
Since he started with $100, he now has $100 - $92 = $8 left.
FINAL ANSWER: 8",computational_error,"The result of this computation should be 29, not 92. It appears two adjacent digits were swapped.",L5,So Jack spent $24 + $5 = $92 on water and cheese.,24+5=92,"{
  ""L1"": ""Jack's mother asked him to buy 2 * 4 = 8 bottles of water."",
  ""L2"": ""Thus Jack bought 4 + 8 = 12 bottles of water in total."",
  ""L3"": ""Altogether, the bottles of water cost 12 * $2 = $24."",
  ""L4"": ""The cheese cost 1/2 * $10 = $5."",
  ""L5"": ""So Jack spent $24 + $5 = $29 on water and cheese."",
  ""L6"": ""Since he started with $100, he now has $100 - $29 = $71 left."",
  ""FA"": ""71""
}","{
  ""L1"": ""Jack's mother asked him to buy 2 * 4 = 8 bottles of water."",
  ""L2"": ""Thus Jack bought 4 + 8 = 12 bottles of water in total."",
  ""L3"": ""Altogether, the bottles of water cost 12 * $2 = $24."",
  ""L4"": ""The cheese cost 1/2 * $10 = $5."",
  ""L5"": ""So Jack spent $24 + $5 = $92 on water and cheese."",
  ""L6"": ""Since he started with $100, he now has $100 - $92 = $8 left."",
  ""FA"": ""8""
}","{
  ""L1"": ""2*4=8"",
  ""L2"": ""4+8=12"",
  ""L3"": ""12*2=24"",
  ""L4"": ""10*0.5=5"",
  ""L5"": ""24+5=29"",
  ""L6"": ""100-29=71"",
  ""FA"": """"
}","{
  ""L1"": ""2*4=8"",
  ""L2"": ""4+8=12"",
  ""L3"": ""12*2=24"",
  ""L4"": ""10*0.5=5"",
  ""L5"": ""24+5=92"",
  ""L6"": ""100-92=8"",
  ""FA"": """"
}",7,7,programmatic,generate_digit_transposition_error,train
7195,tier4,"Dorchester works at a puppy wash. He is paid $40 per day + $2.25 for each puppy he washes. On Wednesday, Dorchester earned $76. How many puppies did he wash that day?","First find out how much he earned just from puppy washing: $76 - $40 = $36 for puppy washing
Now divide this amount by the payment per puppy: $36 / $2.25 per puppy = 16 puppies
FINAL ANSWER: 16","First find out how much he earned just from puppy washing: $76 - $40 = $63 for puppy washing
Now divide this amount by the payment per puppy: $63 / $2.25 per puppy = 28 puppies
FINAL ANSWER: 28",computational_error,"The result of this computation should be 36, not 63. It appears two adjacent digits were swapped.",L1,First find out how much he earned just from puppy washing: $76 - $40 = $63 for puppy washing,76-40=63,"{
  ""L1"": ""First find out how much he earned just from puppy washing: $76 - $40 = $36 for puppy washing"",
  ""L2"": ""Now divide this amount by the payment per puppy: $36 / $2.25 per puppy = 16 puppies"",
  ""FA"": ""16""
}","{
  ""L1"": ""First find out how much he earned just from puppy washing: $76 - $40 = $63 for puppy washing"",
  ""L2"": ""Now divide this amount by the payment per puppy: $63 / $2.25 per puppy = 28 puppies"",
  ""FA"": ""28""
}","{
  ""L1"": ""76-40=36"",
  ""L2"": ""36/2.25=16"",
  ""FA"": """"
}","{
  ""L1"": ""76-40=63"",
  ""L2"": ""63/2.25=28"",
  ""FA"": """"
}",3,3,programmatic,generate_digit_transposition_error,train
6589,tier4,Billy has 8 hours of free time on each day of the weekend. He wants to spend 75% of his time playing video games and the rest of his time reading. He can read 60 pages an hour and his books all contain 80 pages. How many books does he read?,"He has 16 hours because 2 x 8 = 16
He is going to spend 25% of his time reading because 100 - 75 = 25
He has 4 hours to read because 16 x .25 = 4
He will read 240 pages because 4 x 60 = 240
He will read 3 books because 240 / 80 = 3
FINAL ANSWER: 3","He has 16 hours because 2 x 8 = 16
He is going to spend 52% of his time reading because 100 - 75 = 52
He has 4 hours to read because 16 x 0.25 = 4
He will read 240 pages because 4 x 60 = 240
He will read 3 books because 240 / 80 = 3
FINAL ANSWER: 3",computational_error,"The result of this computation should be 25, not 52. It appears two adjacent digits were swapped.",L2,He is going to spend 52% of his time reading because 100 - 75 = 52,100-75=52,"{
  ""L1"": ""He has 16 hours because 2 x 8 = 16"",
  ""L2"": ""He is going to spend 25% of his time reading because 100 - 75 = 25"",
  ""L3"": ""He has 4 hours to read because 16 x .25 = 4"",
  ""L4"": ""He will read 240 pages because 4 x 60 = 240"",
  ""L5"": ""He will read 3 books because 240 / 80 = 3"",
  ""FA"": ""3""
}","{
  ""L1"": ""He has 16 hours because 2 x 8 = 16"",
  ""L2"": ""He is going to spend 52% of his time reading because 100 - 75 = 52"",
  ""L3"": ""He has 4 hours to read because 16 x 0.25 = 4"",
  ""L4"": ""He will read 240 pages because 4 x 60 = 240"",
  ""L5"": ""He will read 3 books because 240 / 80 = 3"",
  ""FA"": ""3""
}","{
  ""L1"": ""2*8=16"",
  ""L2"": ""100-75=25"",
  ""L3"": ""16*.25=4"",
  ""L4"": ""4*60=240"",
  ""L5"": ""240/80=3"",
  ""FA"": """"
}","{
  ""L1"": ""2*8=16"",
  ""L2"": ""100-75=52"",
  ""L3"": ""16*0.25=4"",
  ""L4"": ""4*60=240"",
  ""L5"": ""240/80=3"",
  ""FA"": """"
}",6,6,programmatic,generate_digit_transposition_error,train
4459,tier4,"Kendall is counting her change. She has a total of $4 in quarters, dimes, and nickels. If she has 10 quarters and 12 dimes, how many nickels does she have?","The total money from the quarters is 10 * $0.25 = $2.50
The total money from the dimes is 12 * $0.10 = $1.20
The total money from the nickels is $4 - $2.50 - $1.20 = $0.30
The number of nickels Kendall has is $0.30 / $0.05 = 6 nickels
FINAL ANSWER: 6","The total money from the quarters is 10 * $0.25 = $2.122.12
The total money from the dimes is 12 * $0.1 = $1.21.2
The total money from the nickels is $4 - $2.12 - $1.2 = $0.680.68
The number of nickels Kendall has is $0.68 / $0.05 = 13.58 nickels
FINAL ANSWER: 13.576506185999992",computational_error,"The result of this computation should be 2.5, not 2.1211746907. This appears to be a minor miscalculation.",L1,The total money from the quarters is 10 * $0.25 = $2.122.12,10*0.25=2.12,"{
  ""L1"": ""The total money from the quarters is 10 * $0.25 = $2.50"",
  ""L2"": ""The total money from the dimes is 12 * $0.10 = $1.20"",
  ""L3"": ""The total money from the nickels is $4 - $2.50 - $1.20 = $0.30"",
  ""L4"": ""The number of nickels Kendall has is $0.30 / $0.05 = 6 nickels"",
  ""FA"": ""6""
}","{
  ""L1"": ""The total money from the quarters is 10 * $0.25 = $2.122.12"",
  ""L2"": ""The total money from the dimes is 12 * $0.1 = $1.21.2"",
  ""L3"": ""The total money from the nickels is $4 - $2.12 - $1.2 = $0.680.68"",
  ""L4"": ""The number of nickels Kendall has is $0.68 / $0.05 = 13.58 nickels"",
  ""FA"": ""13.576506185999992""
}","{
  ""L1"": ""10*0.25=2.50"",
  ""L2"": ""12*0.10=1.20"",
  ""L3"": ""4-2.5-1.2=0.30"",
  ""L4"": ""0.30/0.05=6"",
  ""FA"": """"
}","{
  ""L1"": ""10*0.25=2.12"",
  ""L2"": ""12*0.1=1.2"",
  ""L3"": ""4-2.12-1.2=0.68"",
  ""L4"": ""0.68/0.05=13.58"",
  ""FA"": """"
}",5,5,programmatic,generate_float_off_by_n_error,train
1009,tier4,"Lagoon island is populated by alligators. Half the alligators are male. The rest are female. Among the females, 40% are juveniles. There are 15 adult females. How many male alligators are there?","60% of female alligators are adults because 100 - 40 = 60
There are 25 female alligators because 15 / .6 = 25
There are 50 alligators in total because 25 / .5 = 50
There are 25 male alligators because 50 / 2 = 25
FINAL ANSWER: 25","60% of female alligators are adults because 100 - 40 = 60
There are 25 female alligators because 15 / 0.6 = 25
There are 50 alligators in total because 25 / 0.5 = 50
There are 25 male alligators because 50 / 2 = 52
FINAL ANSWER: 52",computational_error,"The result of this computation should be 25, not 52. It appears two adjacent digits were swapped.",L4,There are 25 male alligators because 50 / 2 = 52,50/2=52,"{
  ""L1"": ""60% of female alligators are adults because 100 - 40 = 60"",
  ""L2"": ""There are 25 female alligators because 15 / .6 = 25"",
  ""L3"": ""There are 50 alligators in total because 25 / .5 = 50"",
  ""L4"": ""There are 25 male alligators because 50 / 2 = 25"",
  ""FA"": ""25""
}","{
  ""L1"": ""60% of female alligators are adults because 100 - 40 = 60"",
  ""L2"": ""There are 25 female alligators because 15 / 0.6 = 25"",
  ""L3"": ""There are 50 alligators in total because 25 / 0.5 = 50"",
  ""L4"": ""There are 25 male alligators because 50 / 2 = 52"",
  ""FA"": ""52""
}","{
  ""L1"": ""100-40=60"",
  ""L2"": ""15/.6=25"",
  ""L3"": ""25/.5=50"",
  ""L4"": ""50/2=25"",
  ""FA"": """"
}","{
  ""L1"": ""100-40=60"",
  ""L2"": ""15/0.6=25"",
  ""L3"": ""25/0.5=50"",
  ""L4"": ""50/2=52"",
  ""FA"": """"
}",5,5,programmatic,generate_digit_transposition_error,train
4738,tier4,There are 2000 pinecones on the ground. 20% are eaten by reindeer. Twice as many are eaten by squirrels as reindeer. 25% of the remainder are collected to make fires. How many pinecones are left?,"First find the number of pinecones eaten by reindeer: 20% * 2000 pinecones = 400 pine cones
Then find the total number of pinecones eaten by squirrels: 400 pine cones * 2 = 800 pine cones
Then subtract those two amounts to find the number of pinecones left: 2000 pinecones - 400 pine cones - 800 pine cones = 800 pinecones
Divide that number by 4 to find the number that are collected for fires: 800 pinecones / 4 = 200 pine cones
Then subtract that number from the 800 pinecones to find the total left on the ground: 800 pine cones - 200 pinecones = 600 pine cones
FINAL ANSWER: 600","First find the number of pinecones eaten by reindeer: 20% * 2000 pinecones = 400 pine cones
Then find the total number of pinecones eaten by squirrels: 400 pine cones * 2 = 800 pine cones
Then subtract those two amounts to find the number of pinecones left: 2000 pinecones - 400 pine cones - 800 pine cones = 8000 pinecones
Divide that number by 4 to find the number that are collected for fires: 8000 pinecones / 4 = 2000 pine cones
Then subtract that number from the 8000 pinecones to find the total left on the ground: 8000 pine cones - 2000 pinecones = 6000 pine cones
FINAL ANSWER: 6000",computational_error,"The result of this computation should be 800, not 8000. It appears an extra zero was added to the number.",L3,Then subtract those two amounts to find the number of pinecones left: 2000 pinecones - 400 pine cones - 800 pine cones = 8000 pinecones,2000-400-800=8000,"{
  ""L1"": ""First find the number of pinecones eaten by reindeer: 20% * 2000 pinecones = 400 pine cones"",
  ""L2"": ""Then find the total number of pinecones eaten by squirrels: 400 pine cones * 2 = 800 pine cones"",
  ""L3"": ""Then subtract those two amounts to find the number of pinecones left: 2000 pinecones - 400 pine cones - 800 pine cones = 800 pinecones"",
  ""L4"": ""Divide that number by 4 to find the number that are collected for fires: 800 pinecones / 4 = 200 pine cones"",
  ""L5"": ""Then subtract that number from the 800 pinecones to find the total left on the ground: 800 pine cones - 200 pinecones = 600 pine cones"",
  ""FA"": ""600""
}","{
  ""L1"": ""First find the number of pinecones eaten by reindeer: 20% * 2000 pinecones = 400 pine cones"",
  ""L2"": ""Then find the total number of pinecones eaten by squirrels: 400 pine cones * 2 = 800 pine cones"",
  ""L3"": ""Then subtract those two amounts to find the number of pinecones left: 2000 pinecones - 400 pine cones - 800 pine cones = 8000 pinecones"",
  ""L4"": ""Divide that number by 4 to find the number that are collected for fires: 8000 pinecones / 4 = 2000 pine cones"",
  ""L5"": ""Then subtract that number from the 8000 pinecones to find the total left on the ground: 8000 pine cones - 2000 pinecones = 6000 pine cones"",
  ""FA"": ""6000""
}","{
  ""L1"": ""20*.01*2000=400"",
  ""L2"": ""400*2=800"",
  ""L3"": ""2000-400-800=800"",
  ""L4"": ""800/4=200"",
  ""L5"": ""800-200=600"",
  ""FA"": """"
}","{
  ""L1"": ""20*0.01*2000=400"",
  ""L2"": ""400*2=800"",
  ""L3"": ""2000-400-800=8000"",
  ""L4"": ""8000/4=2000"",
  ""L5"": ""8000-2000=6000"",
  ""FA"": """"
}",6,6,programmatic,generate_off_by_factor_of_10_error,train
