index,model,variable,role,type,value
44,anthropic_claude-3-5-haiku-20241022,budget,argument,int,1000.0
44,anthropic_claude-3-5-haiku-20241022,food_percentage,argument,float,0.3
44,anthropic_claude-3-5-haiku-20241022,accommodation_percentage,argument,float,0.15
44,anthropic_claude-3-5-haiku-20241022,entertainment_percentage,argument,float,0.25
44,anthropic_claude-3-5-haiku-20241022,accommodation_cost,intermediate,float,150.0
44,anthropic_claude-3-5-haiku-20241022,food_cost,intermediate,float,300.0
44,anthropic_claude-3-5-haiku-20241022,entertainment_cost,intermediate,float,250.0
44,anthropic_claude-3-5-haiku-20241022,coursework_materials_cost,intermediate,float,300.0
44,anthropic_claude-3-5-haiku-20241022,answer,final,float,300.0
44,openai_gpt-4.1-mini,budget,argument,float,1000.0
44,openai_gpt-4.1-mini,food_percent,argument,float,30.0
44,openai_gpt-4.1-mini,accommodation_percent,argument,float,15.0
44,openai_gpt-4.1-mini,entertainment_percent,argument,float,25.0
44,openai_gpt-4.1-mini,accommodation_cost,intermediate,float,150.0
44,openai_gpt-4.1-mini,food_cost,intermediate,float,300.0
44,openai_gpt-4.1-mini,entertainment_cost,intermediate,float,250.0
44,openai_gpt-4.1-mini,coursework_materials_cost,intermediate,float,300.0
44,openai_gpt-4.1-mini,answer,final,float,300.0
44,google_gemini-2.0-flash-thinking-exp,budget,argument,int,1000.0
44,google_gemini-2.0-flash-thinking-exp,food_percentage,argument,float,0.3
44,google_gemini-2.0-flash-thinking-exp,accommodation_percentage,argument,float,0.15
44,google_gemini-2.0-flash-thinking-exp,entertainment_percentage,argument,float,0.25
44,google_gemini-2.0-flash-thinking-exp,accommodation_cost,intermediate,float,150.0
44,google_gemini-2.0-flash-thinking-exp,food_cost,intermediate,float,300.0
44,google_gemini-2.0-flash-thinking-exp,entertainment_cost,intermediate,float,250.0
44,google_gemini-2.0-flash-thinking-exp,coursework_materials_cost,intermediate,float,300.0
44,google_gemini-2.0-flash-thinking-exp,answer,final,float,300.0
44,google_gemini-2.5-flash-lite-preview-06-17,budget,argument,int,1000.0
44,google_gemini-2.5-flash-lite-preview-06-17,food_percentage,argument,float,0.3
44,google_gemini-2.5-flash-lite-preview-06-17,accommodation_percentage,argument,float,0.15
44,google_gemini-2.5-flash-lite-preview-06-17,entertainment_percentage,argument,float,0.25
44,google_gemini-2.5-flash-lite-preview-06-17,accommodation_cost,intermediate,float,150.0
44,google_gemini-2.5-flash-lite-preview-06-17,food_cost,intermediate,float,300.0
44,google_gemini-2.5-flash-lite-preview-06-17,entertainment_cost,intermediate,float,250.0
44,google_gemini-2.5-flash-lite-preview-06-17,coursework_materials_cost,intermediate,float,300.0
44,google_gemini-2.5-flash-lite-preview-06-17,answer,final,float,300.0
44,google_gemini-2.5-flash,budget,argument,int,1000.0
44,google_gemini-2.5-flash,food_percentage,argument,float,0.3
44,google_gemini-2.5-flash,accommodation_percentage,argument,float,0.15
44,google_gemini-2.5-flash,entertainment_percentage,argument,float,0.25
44,google_gemini-2.5-flash,accommodation_cost,intermediate,float,150.0
44,google_gemini-2.5-flash,food_cost,intermediate,float,300.0
44,google_gemini-2.5-flash,entertainment_cost,intermediate,float,250.0
44,google_gemini-2.5-flash,coursework_materials_cost,intermediate,float,300.0
44,google_gemini-2.5-flash,answer,final,float,300.0
