index,model,variable,role,type,value
35,anthropic_claude-3-5-haiku-20241022,total_students,argument,int,60.0
35,anthropic_claude-3-5-haiku-20241022,percent_below_b,argument,float,0.4
35,anthropic_claude-3-5-haiku-20241022,percent_b_and_above,intermediate,float,0.6
35,anthropic_claude-3-5-haiku-20241022,students_b_and_above,intermediate,float,36.0
35,anthropic_claude-3-5-haiku-20241022,answer,final,float,36.0
35,openai_gpt-4.1-mini,percent_below_b,argument,float,40.0
35,openai_gpt-4.1-mini,total_students,argument,int,60.0
35,openai_gpt-4.1-mini,percent_b_and_above,intermediate,int,60.0
35,openai_gpt-4.1-mini,students_b_and_above,intermediate,float,36.0
35,openai_gpt-4.1-mini,answer,final,float,36.0
35,google_gemini-2.0-flash-thinking-exp,percent_below_b,argument,int,40.0
35,google_gemini-2.0-flash-thinking-exp,total_students,argument,int,60.0
35,google_gemini-2.0-flash-thinking-exp,percent_b_and_above,intermediate,int,60.0
35,google_gemini-2.0-flash-thinking-exp,students_b_and_above,intermediate,float,36.0
35,google_gemini-2.0-flash-thinking-exp,answer,final,float,36.0
35,google_gemini-2.5-flash-lite-preview-06-17,percentage_below_b,argument,float,0.4
35,google_gemini-2.5-flash-lite-preview-06-17,total_students,argument,int,60.0
35,google_gemini-2.5-flash-lite-preview-06-17,percentage_b_and_above,intermediate,float,0.6
35,google_gemini-2.5-flash-lite-preview-06-17,students_b_and_above,intermediate,float,36.0
35,google_gemini-2.5-flash-lite-preview-06-17,answer,final,float,36.0
35,google_gemini-2.5-flash,percentage_below_b,argument,float,0.4
35,google_gemini-2.5-flash,total_students,argument,int,60.0
35,google_gemini-2.5-flash,percentage_b_and_above,intermediate,float,0.6
35,google_gemini-2.5-flash,students_b_and_above,intermediate,float,36.0
35,google_gemini-2.5-flash,answer,final,float,36.0
