problem_index,rigorous_score,expected_json,predicted_json,full_prediction_text
2680,0.0,"{""L1"": ""6/12=0.5"", ""L2"": ""2+0.5=2.5"", ""L3"": ""2.5*3=7.5"", ""L4"": ""2.5+7.5=5"", ""FA"": """"}","{""L1"": ""6/12=0.5 years"", ""L2"": ""2+0.5=2.5 years"", ""L3"": ""2.5*3=7.5 years"", ""L4"": ""2.5+7.5=10 years"", ""FA"": ""5""}","```json
{
  ""L1"": ""6/12=0.5 years"",
  ""L2"": ""2+0.5=2.5 years"",
  ""L3"": ""2.5*3=7.5 years"",
  ""L4"": ""2.5+7.5=10 years"",
  ""FA"": ""5""
}
```"
4479,0.25,"{""L1"": ""21/14=1.5"", ""L2"": ""8+3+12+1.5=24.5"", ""L3"": ""50-24.5=25.5"", ""L4"": ""25.5*14=537"", ""FA"": """"}","{""L1"": ""1.5 bushels of corn."", ""L2"": ""24.5 bushels of corn."", ""L3"": ""50 - 24.5 = 25.5"", ""L4"": ""537""}","```json
{
  ""L1"": ""1.5 bushels of corn."",
  ""L2"": ""24.5 bushels of corn."",
  ""L3"": ""50 - 24.5 = 25.5"",
  ""L4"": ""537""
}
```"
5650,0.0,"{""L1"": ""75/60=1.25"", ""L2"": ""40*1.25=50"", ""L3"": ""24/60=0.4"", ""L4"": ""40*0.4=16"", ""L5"": ""50-16=43"", ""FA"": """"}","{""L1"": ""1.25 pages/minute * 75 = 93.75"", ""L2"": ""50 pages / 40 minutes = 1.25 pages/minute"", ""L3"": ""0.4 pages/minute * 24 = 9.6"", ""L4"": ""16 pages / 40 minutes = 0.4 pages/minute"", ""L5"": ""93.75 - 9.6 = 84.15""}","```json
{
  ""L1"": ""1.25 pages/minute * 75 = 93.75"",
  ""L2"": ""50 pages / 40 minutes = 1.25 pages/minute"",
  ""L3"": ""0.4 pages/minute * 24 = 9.6"",
  ""L4"": ""16 pages / 40 minutes = 0.4 pages/minute"",
  ""L5"": ""93.75 - 9.6 = 84.15""
}
```"
7201,0.0,"{""L1"": ""200/2=100"", ""L2"": ""100*0.3=30"", ""L3"": ""30*4=210"", ""FA"": """"}","{""L1"": ""100 visitors"", ""L2"": ""210"", ""L3"": ""210"", ""FA"": ""210""}","```json
{
  ""L1"": ""100 visitors"",
  ""L2"": ""210"",
  ""L3"": ""210"",
  ""FA"": ""210""
}
```"
2796,0.25,"{""L1"": ""0.4*80=32"", ""L2"": ""2*32=64"", ""L3"": ""100-64=63"", ""L4"": ""63/100*100=63"", ""FA"": """"}","{""L1"": ""32"", ""L2"": ""64"", ""L3"": ""100-64=36"", ""L4"": ""63/100*100 = 63"", ""FA"": ""63""}","```json
{
  ""L1"": ""32"",
  ""L2"": ""64"",
  ""L3"": ""100-64=36"",
  ""L4"": ""63/100*100 = 63"",
  ""FA"": ""63""
}
```"
2537,0.0,"{""L1"": ""32-2=30"", ""L2"": ""3*0.5=15"", ""L3"": ""30/15=2"", ""FA"": """"}","{""L1"": ""30-2=28"", ""L2"": ""15"", ""L3"": ""2"", ""FA"": ""2""}","```json
{
  ""L1"": ""30-2=28"",
  ""L2"": ""15"",
  ""L3"": ""2"",
  ""FA"": ""2""
}
```"
1317,0.0,"{""L1"": ""2.5*2=5"", ""L2"": ""3+5=8"", ""L3"": ""8/2=4"", ""L4"": ""4*60=200"", ""FA"": """"}","{""L1"": ""5 minutes because 2.5 x 2 = 5"", ""L2"": ""8 minutes because 3 + 5 = 8"", ""L3"": ""4 minutes because 8 / 2 = 4"", ""L4"": ""200"", ""FA"": """"}","```json
{
  ""L1"": ""5 minutes because 2.5 x 2 = 5"",
  ""L2"": ""8 minutes because 3 + 5 = 8"",
  ""L3"": ""4 minutes because 8 / 2 = 4"",
  ""L4"": ""200"",
  ""FA"": """"
}
```"
1925,0.42857142857142855,"{""L1"": ""10/2=5"", ""L2"": ""10/2=5"", ""L3"": ""5*3=15"", ""L4"": ""15/2.5=6"", ""L5"": ""5*3=15"", ""L6"": ""15/3=5"", ""L7"": ""5+6=7"", ""FA"": """"}","{""L1"": ""10/2=5"", ""L2"": ""10/2=5"", ""L3"": ""5x3=15"", ""L4"": ""15/2.5=6"", ""L5"": ""5x3=15"", ""L6"": ""5+6=11"", ""L7"": ""7""}","```json
{
  ""L1"": ""10/2=5"",
  ""L2"": ""10/2=5"",
  ""L3"": ""5x3=15"",
  ""L4"": ""15/2.5=6"",
  ""L5"": ""5x3=15"",
  ""L6"": ""5+6=11"",
  ""L7"": ""7""
}
```"
1015,0.0,"{""L1"": ""400/80=5"", ""L2"": ""5*1.2=6.2"", ""L3"": ""10-6.2=3.8"", ""FA"": """"}","{""L1"": ""5*1.2=6.0"", ""L2"": ""3.8"", ""L3"": ""10-6.0=3.8"", ""FA"": ""3.8""}","```json
{
  ""L1"": ""5*1.2=6.0"",
  ""L2"": ""3.8"",
  ""L3"": ""10-6.0=3.8"",
  ""FA"": ""3.8""
}
```"
1711,0.25,"{""L1"": ""10-4=6"", ""L2"": ""6*30=180"", ""L3"": ""30/2=15"", ""L4"": ""15*4=60"", ""L5"": ""60+180=235"", ""L6"": ""235*0.2=47"", ""L7"": ""235-47=188"", ""L8"": ""188+5=193"", ""FA"": """"}","{""L1"": ""10-4=6 adult tickets"", ""L2"": ""6*30=180"", ""L3"": ""Children tickets cost 30/2=$15 each"", ""L4"": ""15*4=60"", ""L5"": ""60+180=240"", ""L6"": ""240*0.2=48"", ""L7"": ""240-48=192"", ""L8"": ""192+5=197"", ""FA"": ""193""}","```json
{
  ""L1"": ""10-4=6 adult tickets"",
  ""L2"": ""6*30=180"",
  ""L3"": ""Children tickets cost 30/2=$15 each"",
  ""L4"": ""15*4=60"",
  ""L5"": ""60+180=240"",
  ""L6"": ""240*0.2=48"",
  ""L7"": ""240-48=192"",
  ""L8"": ""192+5=197"",
  ""FA"": ""193""
}
```"
4156,0.8,"{""L1"": ""20*0.5=10"", ""L2"": ""12*(1/3)=4"", ""L3"": ""20-10=13"", ""L4"": ""12-4=8"", ""L5"": ""13+8=21"", ""FA"": """"}","{""L1"": ""20 * 0.5 = 10"", ""L2"": ""12 * (1/3) = 4"", ""L3"": ""20 - 10 = 10"", ""L4"": ""12 - 4 = 8"", ""L5"": ""13 + 8 = 21""}","```json
{
  ""L1"": ""20 * 0.5 = 10"",
  ""L2"": ""12 * (1/3) = 4"",
  ""L3"": ""20 - 10 = 10"",
  ""L4"": ""12 - 4 = 8"",
  ""L5"": ""13 + 8 = 21""
}
```"
7010,0.6666666666666666,"{""L1"": ""3*1=3"", ""L2"": ""3+5+73=18"", ""L3"": ""18/3=6"", ""FA"": """"}","{""L1"": ""3*1=3"", ""L2"": ""3+5+73=80"", ""L3"": ""18/3=6"", ""FA"": ""6""}","```json
{
  ""L1"": ""3*1=3"",
  ""L2"": ""3+5+73=80"",
  ""L3"": ""18/3=6"",
  ""FA"": ""6""
}
```"
6237,0.0,"{""L1"": ""2*8=16"", ""L2"": ""16+12=28"", ""L3"": ""6*28=618"", ""L4"": ""12*28=336"", ""L5"": ""336/3=112"", ""L6"": ""618+112=730"", ""L7"": ""730*0.2=146"", ""FA"": """"}","{""L1"": ""16 hours"", ""L2"": ""28 hours"", ""L3"": ""618/week"", ""L4"": ""336/week"", ""L5"": ""112/week"", ""L6"": ""146/week"", ""L7"": ""146""}","```json
{
  ""L1"": ""16 hours"",
  ""L2"": ""28 hours"",
  ""L3"": ""618/week"",
  ""L4"": ""336/week"",
  ""L5"": ""112/week"",
  ""L6"": ""146/week"",
  ""L7"": ""146""
}
```"
6558,0.0,"{""L1"": ""20/8=2.5"", ""L2"": ""2.5*6=51"", ""FA"": """"}","{""L1"": ""20/8=2.5 minutes each time"", ""L2"": ""51"", ""FA"": """"}","```json
{
  ""L1"": ""20/8=2.5 minutes each time"",
  ""L2"": ""51"",
  ""FA"": """"
}
```"
