provider,model,index,time_taken
anthropic,claude-sonnet-4-20250514,3779,14.588613033294678
anthropic,claude-3-7-sonnet-20250219,3779,9.77173924446106
anthropic,claude-3-5-sonnet-20240620,3779,13.573698997497559
anthropic,claude-3-5-haiku-20241022,3779,9.208251237869263
anthropic,claude-3-haiku-20240307,3779,7.41133975982666
openai,gpt-4.1,3779,7.136370897293091
openai,o3-mini,3779,10.64477014541626
openai,o4-mini,3779,23.341707706451416
openai,gpt-4.1-mini,3779,9.332340955734253
google,gemini-2.5-pro-preview-06-05,3779,18.29323101043701
google,gemini-2.5-pro,3779,36.015915870666504
google,gemini-2.5-flash,3779,7.3495399951934814
google,gemini-2.5-flash-preview-04-17-thinking,3779,6.012402057647705
google,gemini-2.0-flash-thinking-exp,3779,4.708427906036377
google,gemini-2.5-flash-lite-preview-06-17,3779,1.7399790287017822
anthropic,claude-sonnet-4-20250514,4483,15.872540950775146
anthropic,claude-3-7-sonnet-20250219,4483,9.46405816078186
anthropic,claude-3-5-sonnet-20240620,4483,9.276652812957764
anthropic,claude-3-5-haiku-20241022,4483,8.28610110282898
anthropic,claude-3-haiku-20240307,4483,5.117208003997803
openai,gpt-4.1,4483,6.357188940048218
openai,o3-mini,4483,10.023684978485107
openai,o4-mini,4483,13.517190933227539
openai,gpt-4.1-mini,4483,8.189096927642822
google,gemini-2.5-pro-preview-06-05,4483,15.965249061584473
google,gemini-2.5-pro,4483,19.042065858840942
google,gemini-2.5-flash,4483,3.4574949741363525
google,gemini-2.5-flash-preview-04-17-thinking,4483,4.497330904006958
google,gemini-2.0-flash-thinking-exp,4483,5.763514995574951
google,gemini-2.5-flash-lite-preview-06-17,4483,1.842858076095581
anthropic,claude-sonnet-4-20250514,6237,14.744323253631592
anthropic,claude-3-7-sonnet-20250219,6237,9.624284267425537
anthropic,claude-3-5-sonnet-20240620,6237,8.812228918075562
anthropic,claude-3-5-haiku-20241022,6237,9.206881046295166
anthropic,claude-3-haiku-20240307,6237,5.607630968093872
openai,gpt-4.1,6237,6.473033905029297
openai,o3-mini,6237,12.071106910705566
openai,o4-mini,6237,58.17493009567261
openai,gpt-4.1-mini,6237,9.343878030776978
google,gemini-2.5-pro-preview-06-05,6237,17.59689497947693
google,gemini-2.5-pro,6237,16.888259172439575
google,gemini-2.5-flash,6237,8.655537128448486
google,gemini-2.5-flash-preview-04-17-thinking,6237,6.91617488861084
google,gemini-2.0-flash-thinking-exp,6237,8.547361850738525
google,gemini-2.5-flash-lite-preview-06-17,6237,2.2902469635009766
