answer,erroneous_line_number,error_type,explanation,filepath,index,question,wrong_answer,error_reason,source_catalog,tier,model,correct_trace_generated,target_variable,correct_value,flawed_value,repro_seed,date_utc,time_utc
"The plant supplier earned $50 x 20 = $<<50*20=1000>>1000 for the orchids.
He earned $25 x 15 = $<<25*15=375>>375 for the potted Chinese money plants.
So, his total earnings was $1000 + $375 = $<<1000+375=1375>>1375.
Then he paid $40 x 2 = $<<40*2=80>>80 to his workers.
He used a total of $80 + $150 = $<<80+150=230>>230 for the worker's pay and new pots.
Hence, he was left with $1375 - $230 = $<<1145=1145>>1145 from his earnings.
#### 1145",,computational,computational error: He earned $25 x 15 = $375 for the potted Chinese money plants.,yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1001,A plant supplier was able to sell 20 pieces of orchids for $50 each and 15 pieces potted Chinese money plant for $25. The money he earned was then used to pay his two workers $40 each and to buy new pots worth $150. How much money was left from the plant supplier's earnings?,"The plant supplier earned $50 x 20 = $<<50*20=1000>>1000 for the orchids.
He earned $25 x 15 = $<<25*15=350>>350 for the potted Chinese money plants.
So, his total earnings was $1000 + $350 = $<<1000+350=1350>>1350.
Then he paid $40 x 2 = $<<40*2=80>>80 to his workers.
He used a total of $80 + $150 = $<<80+150=230>>230 for the worker's pay and new pots.
Hence, he was left with $1350 - $230 = $<<1350-230=1120>>1120 from his earnings.
#### 1120",Missing erroneous_line_number,manual,,,,,,,,,
"Before throwing the cookies, Alice and Bob baked 74 + 7 = <<74+7=81>>81 cookies.
After throwing the cookies, they baked 5 + 36 = <<5+36=41>>41 cookies.
In total, they baked 81 + 41 = <<81+41=122>>122 cookies
They threw 122 - 93 = <<122-93=29>>29 cookies on the floor.
#### 29",,computational,"computational error: Before throwing the cookies, Alice and Bob baked 74 + 7 = 81 cookies, not 80.",yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1019,"Alice and Bob decided to bake cookies for their first date. Alice baked 74 chocolate chip cookies and Bob baked 7 peanut butter cookies. After accidentally throwing some on the floor, Alice baked 5 more cookies and Bob baked 36 more. If they had 93 edible cookies at the end, how many were accidentally thrown on the floor?","Before throwing the cookies, Alice and Bob baked 74 + 7 = <<74+7=80>>80 cookies.
After throwing the cookies, they baked 5 + 36 = <<5+36=41>>41 cookies.
In total, they baked 80 + 41 = <<80+41=121>>121 cookies
They threw 121 - 93 = <<121-93=28>>28 cookies on the floor.
#### 28",Missing erroneous_line_number,manual,,,,,,,,,
"The total weight of 20 bars of copper is 20*90 = <<20*90=1800>>1800kgs
If a copper bar weighs 90 kgs, and a steel bar weighs 20 kgs more than a copper bar, the weight of a steel bar is 90+20 = <<90+20=110>>110 kgs.
If a bar of steel weighs 110 kgs, 20 bars will weigh 20*110 = 2200kgs
The total weight of 20 bars of copper and steel is 2200+1800 = <<2200+1800=4000>>4000 kgs
A bar of steel weighs twice the mass of a bar of tin, meaning a bar of tin weighs 110/2 = <<55=55>>55 kgs
The total weight of 20 bars of tins is 55*20= <<55*20=1100>>1100 kgs
The total weight of 20 bars of each metal is 4000+1100 = 5100 kgs
#### 5100",,computational,"computational error: The calculation for the weight of 20 steel bars is incorrect. 20 * 110 should be 2200 kgs, not 2000 kgs.",yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1028,"A bar of steel weighs twice the mass of a bar of tin. If a steel bar also weighs 20 kgs more than a copper bar and a copper bar weighs 90 kgs, calculate the total weight of a container with 20 bars of each type of metal.","The total weight of 20 bars of copper is 20*90 = <<20*90=1800>>1800kgs
If a copper bar weighs 90 kgs, and a steel bar weighs 20 kgs more than a copper bar, the weight of a steel bar is 90+20 = <<90+20=110>>110 kgs.
If a bar of steel weighs 110 kgs, 20 bars will weigh 20*110 = 2000kgs
The total weight of 20 bars of copper and steel is 2000+1800 = <<2000+1800=3800>>3800 kgs
A bar of steel weighs twice the mass of a bar of tin, meaning a bar of tin weighs 110/2 = <<55=55>>55 kgs
The total weight of 20 bars of tins is 55*20= <<55*20=1100>>1100 kgs
The total weight of 20 bars of each metal is 3800+1100 = 4900 kgs
#### 4900",Missing erroneous_line_number,manual,,,,,,,,,
"First find the total number of ounces in the water cooler: 3 gallons * 128 ounces/gallon = <<3*128=384>>384 ounces
Then find the total number of dixie cups Bill pours: 5 rows * 10 chairs/row = <<5*10=50>>50 chairs
Then find the total number ounces Bill pours: 50 attendees * 6 ounces/attendee = <<50*6=300>>300 ounces
Then subtract the amount of water Bill pours from the cooler from the initial amount to find the final amount: 384 ounces - 300 ounces = <<384-300=84>>84 ounces
#### 84",,computational,"computational error: The total number of ounces in the water cooler is 3 gallons * 128 ounces/gallon = 384 ounces, not 374 ounces.",yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1030,"While preparing for a meeting, Bill fills Dixie cups with water from out of a water cooler. The water cooler initially contains 3 gallons of water, and each Dixie cup holds 6 ounces of water.  If Bill fills one cup of water per each meeting chair, and there are 5 rows of meeting chairs with 10 chairs in each row, then how many ounces of water will be left in the cooler after all cups have been are filled? (There are 128 ounces in a gallon.)","First find the total number of ounces in the water cooler: 3 gallons * 128 ounces/gallon = <<3*128=374>>374 ounces
Then find the total number of dixie cups Bill pours: 5 rows * 10 chairs/row = <<5*10=50>>50 chairs
Then find the total number ounces Bill pours: 50 attendees * 6 ounces/attendee = <<50*6=300>>300 ounces
Then subtract the amount of water Bill pours from the cooler from the initial amount to find the final amount: 374 ounces - 300 ounces = <<374-300=74>>74 ounces
#### 74",Missing erroneous_line_number,manual,,,,,,,,,
"There were 600 - 240 = <<600-240=360>>360 boys at the beginning of the game.
So, 360 x 1/4 = <<360*1/4=90>>90 boys left early.
And 240 x 1/8 = <<240*1/8=30>>30 girls left early.
A total of 90 + 30 = <<90+30=120>>120 people left early.
Therefore, 600 - 120 = <<600-120=480>>480 people remained to see the end of the game.
#### 480",,computational,"computational error: 360 x 1/4 should be 90, not 80.",yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1031,"There were 600 people in the stadium when the football game started. Before the game was over, one-fourth of the boys and one-eighth of the girls left early. How many people remained to see the end of the game if there were 240 girls at the beginning of the game?","There were 600 - 240 = <<600-240=360>>360 boys at the beginning of the game.
So, 360 x 1/4 = <<360*1/4=80>>80 boys left early.
And 240 x 1/8 = <<240*1/8=30>>30 girls left early.
A total of 80 + 30 = <<80+30=110>>110 people left early.
Therefore, 600 - 110 = <<600-110=490>>490 people remained to see the end of the game.
#### 490",Missing erroneous_line_number,manual,,,,,,,,,
"He burns 2*300=<<2*300=600>>600 calories an hour
He dances for .5*2=<<.5*2=1>>1 hour per day
So he burns 600*1=<<600=600>>600 calories per day
So he burns 600*4=<<600*4=2400>>2400 calories per week
#### 2400",,computational,computational error: He burns 2*300=<<2*300=600>>600 calories an hour (the multiplication 2*300 was incorrect).,yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1033,James takes up dancing for fitness.  He loses twice as many calories per hour as he did when he was walking.  He dances twice a day for .5 hours each time and he does this 4 times a week.  He burned 300 calories an hour walking.  How many calories does he lose a week from dancing?,"He burns 2*300=<<2*300=500>>500 calories an hour
He dances for .5*2=<<.5*2=1>>1 hour per day
So he burns 500*1=<<500=500>>500 calories per day
So he burns 500*4=<<500*4=2000>>2000 calories per week
#### 2000",Missing erroneous_line_number,manual,,,,,,,,,
"At least one person lives in 85/100 * 120 = <<85/100*120=102>>102 apartments.
At least two persons live in 60/100 * 120 = <<60/100*120=72>>72 apartments.
So in every of the 102 - 72 = <<30*1=30>>30 apartments, only one person is living.
#### 30",,computational,"computational error: At least one person lives in 85/100 * 120 = 102 apartments, not 100.",yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1039,"In a block of flats, there are 120 apartments. 85% of them have at least 1 resident, while 60% of the apartments have at least two residents. How many apartments have only one resident?","At least one person lives in 85/100 * 120 = <<85/100*120=100>>100 apartments.
At least two persons live in 60/100 * 120 = <<60/100*120=72>>72 apartments.
So in every of the 100 - 72 = <<100-72=28>>28 apartments, only one person is living.
#### 28",Missing erroneous_line_number,manual,,,,,,,,,
"Kim got 2 candy bars a week for 16 weeks so she got 2*16 = <<2*16=32>>32 candy bars
She would only eat 1 candy bar every 4 weeks so in 16 weeks she only ate 16/4 = <<16/4=4>>4 candy bars
She saved 32 candy bars and only ate 4 so she still has 32-4 = <<32-4=28>>28 candy bars
#### 28",,computational,computational error: Kim got 2 candy bars a week for 16 weeks so she got 2*16 = 32 candy bars (the calculation of 2*16 was incorrect).,yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1042,"Kim's dad would buy her 2 candy bars a week.  She would eat 1 candy bar every 4 weeks, saving the rest.  After 16 weeks, how many candy bars did Kim have saved?","Kim got 2 candy bars a week for 16 weeks so she got 2*16 = <<2*16=30>>30 candy bars
She would only eat 1 candy bar every 4 weeks so in 16 weeks she only ate 16/4 = <<16/4=4>>4 candy bars
She saved 30 candy bars and only ate 4 so she still has 30-4 = <<30-4=26>>26 candy bars
#### 26",Missing erroneous_line_number,manual,,,,,,,,,
"The tickets are $50.00 each and they need 2 tickets so that's 50*2 = $<<50*2=100.00>>100.00
There is a 15% processing fee for the tickets so that's 100*.15 = $<<100*.15=15.00>>15.00
The tickets are $100.00 and the processing fee is $15.00 for a total of 100+15 = $<<100+15=115.00>>115.00
There is a $5.00 per person entrance fee and there are 2 people so that's 5*2 = $<<5*2=10.00>>10.00
The tickets are $115.00, parking is $10.00 and the entrance fee is $10.0 for a total of 115+10+10 = $<<115+10+10=135.00>>135.00
#### 135",,computational,computational error: The processing fee calculation 100 * 0.15 was incorrectly calculated as $1.50 instead of $15.00.,yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1054,Seth and his brother want to see their favorite band in concert.  The tickets are $50.00 each.  There is a 15% processing fee for the tickets.  They are also charged $10.00 for parking and an additional $5.00 per person entrance fee.  How much will it cost to go to the concert?,"The tickets are $50.00 each and they need 2 tickets so that's 50*2 = $<<50*2=100.00>>100.00
There is a 15% processing fee for the tickets so that's 100*.15 = $<<100*.15=1.50>>1.50
The tickets are $100.00 and the processing fee is $1.50 for a total of 100+1.50 = $<<100+1.50=101.50>>101.50
There is a $5.00 per person entrance fee and there are 2 people so that's 5*2 = $<<5*2=10.00>>10.00
The tickets are $101.50, parking is $10.00 and the entrance fee is $10.0 for a total of 101.50+10+10 = $<<101.50+10+10=121.50>>121.50
#### 121.50",Missing erroneous_line_number,manual,,,,,,,,,
"Ruth's two cousins ate a total of 2 x 1 = <<2*1=2>>2 sandwiches.
So there were 3 + 2 = <<3+2=5>>5 sandwiches left before her two cousins arrived.
Before her first cousin arrived, there were 5 + 2 = <<5+2=7>>7 sandwiches.
Ruth and her brother had 1 + 2 = <<1+2=3>>3 sandwiches altogether.
Therefore, Ruth prepared 7 + 3 = <<7+3=10>>10 sandwiches.""
#### 10",,computational,"computational error: Before her first cousin arrived, there were 5 + 2 = 7 sandwiches, not 6.",yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1062,Ruth prepared sandwiches. She ate 1 sandwich and gave 2 sandwiches to her brother. Her first cousin arrived and ate 2 sandwiches. Then her two other cousins arrived and ate 1 sandwich each. There were 3 sandwiches left. How many sandwiches did Ruth prepare?,"Ruth's two cousins ate a total of 2 x 1 = <<2*1=2>>2 sandwiches.
So there were 3 + 2 = <<3+2=5>>5 sandwiches left before her two cousins arrived.
Before her first cousin arrived, there were 5 + 2 = <<5+2=6>>6 sandwiches.
Ruth and her brother had 1 + 2 = <<1+2=3>>3 sandwiches altogether.
Therefore, Ruth prepared 6 + 3 = <<6+3=9>>9 sandwiches.
#### 9",Missing erroneous_line_number,manual,,,,,,,,,
