index,model,variable,role,type,value
45,anthropic_claude-3-5-haiku-20241022,pinata_cost,argument,int,13
45,anthropic_claude-3-5-haiku-20241022,reeses_bags,argument,int,4
45,anthropic_claude-3-5-haiku-20241022,reeses_bag_cost,argument,int,9
45,anthropic_claude-3-5-haiku-20241022,snickers_bags,argument,int,3
45,anthropic_claude-3-5-haiku-20241022,snickers_bag_cost,argument,int,5
45,anthropic_claude-3-5-haiku-20241022,skittles_bags,argument,int,5
45,anthropic_claude-3-5-haiku-20241022,skittles_bag_cost,argument,int,7
45,anthropic_claude-3-5-haiku-20241022,reeses_total_cost,intermediate,int,36
45,anthropic_claude-3-5-haiku-20241022,snickers_total_cost,intermediate,int,15
45,anthropic_claude-3-5-haiku-20241022,skittles_total_cost,intermediate,int,35
45,anthropic_claude-3-5-haiku-20241022,answer,final,int,99
45,openai_gpt-4.1-mini,pinata_cost,argument,int,13
45,openai_gpt-4.1-mini,num_bags_reeses,argument,int,4
45,openai_gpt-4.1-mini,cost_per_bag_reeses,argument,int,9
45,openai_gpt-4.1-mini,num_bags_snickers,argument,int,3
45,openai_gpt-4.1-mini,cost_per_bag_snickers,argument,int,5
45,openai_gpt-4.1-mini,num_bags_skittles,argument,int,5
45,openai_gpt-4.1-mini,cost_per_bag_skittles,argument,int,7
45,openai_gpt-4.1-mini,total_cost_reeses,intermediate,int,36
45,openai_gpt-4.1-mini,total_cost_snickers,intermediate,int,15
45,openai_gpt-4.1-mini,total_cost_skittles,intermediate,int,35
45,openai_gpt-4.1-mini,total_cost,intermediate,int,99
45,openai_gpt-4.1-mini,answer,final,int,99
45,google_gemini-2.0-flash-thinking-exp,pinata_cost,argument,int,13
45,google_gemini-2.0-flash-thinking-exp,num_reese_bags,argument,int,4
45,google_gemini-2.0-flash-thinking-exp,cost_per_reese_bag,argument,int,9
45,google_gemini-2.0-flash-thinking-exp,num_snickers_bags,argument,int,3
45,google_gemini-2.0-flash-thinking-exp,cost_per_snickers_bag,argument,int,5
45,google_gemini-2.0-flash-thinking-exp,num_skittles_bags,argument,int,5
45,google_gemini-2.0-flash-thinking-exp,cost_per_skittles_bag,argument,int,7
45,google_gemini-2.0-flash-thinking-exp,cost_reese,intermediate,int,36
45,google_gemini-2.0-flash-thinking-exp,cost_snickers,intermediate,int,15
45,google_gemini-2.0-flash-thinking-exp,cost_skittles,intermediate,int,35
45,google_gemini-2.0-flash-thinking-exp,total_cost,intermediate,int,99
45,google_gemini-2.0-flash-thinking-exp,answer,final,int,99
45,google_gemini-2.5-flash-lite-preview-06-17,cost_pinata,argument,int,13
45,google_gemini-2.5-flash-lite-preview-06-17,num_bags_reeses,argument,int,4
45,google_gemini-2.5-flash-lite-preview-06-17,cost_per_bag_reeses,argument,int,9
45,google_gemini-2.5-flash-lite-preview-06-17,num_bags_snickers,argument,int,3
45,google_gemini-2.5-flash-lite-preview-06-17,cost_per_bag_snickers,argument,int,5
45,google_gemini-2.5-flash-lite-preview-06-17,num_bags_skittles,argument,int,5
45,google_gemini-2.5-flash-lite-preview-06-17,cost_per_bag_skittles,argument,int,7
45,google_gemini-2.5-flash-lite-preview-06-17,cost_reeses,intermediate,int,36
45,google_gemini-2.5-flash-lite-preview-06-17,cost_snickers,intermediate,int,15
45,google_gemini-2.5-flash-lite-preview-06-17,cost_skittles,intermediate,int,35
45,google_gemini-2.5-flash-lite-preview-06-17,total_cost,intermediate,int,99
45,google_gemini-2.5-flash-lite-preview-06-17,answer,final,int,99
45,google_gemini-2.5-flash,pinata_cost,argument,int,13
45,google_gemini-2.5-flash,num_reese_bags,argument,int,4
45,google_gemini-2.5-flash,cost_per_reese_bag,argument,int,9
45,google_gemini-2.5-flash,num_snickers_bags,argument,int,3
45,google_gemini-2.5-flash,cost_per_snickers_bag,argument,int,5
45,google_gemini-2.5-flash,num_skittles_bags,argument,int,5
45,google_gemini-2.5-flash,cost_per_skittles_bag,argument,int,7
45,google_gemini-2.5-flash,cost_reese,intermediate,int,36
45,google_gemini-2.5-flash,cost_snickers,intermediate,int,15
45,google_gemini-2.5-flash,cost_skittles,intermediate,int,35
45,google_gemini-2.5-flash,total_cost,intermediate,int,99
45,google_gemini-2.5-flash,answer,final,int,99
