index,model,variable,role,type,value
47,anthropic_claude-3-5-haiku-20241022,file_size,argument,int,90.0
47,anthropic_claude-3-5-haiku-20241022,initial_rate,argument,int,5.0
47,anthropic_claude-3-5-haiku-20241022,subsequent_rate,argument,int,10.0
47,anthropic_claude-3-5-haiku-20241022,initial_segment,argument,int,60.0
47,anthropic_claude-3-5-haiku-20241022,initial_download_time,intermediate,float,12.0
47,anthropic_claude-3-5-haiku-20241022,remaining_megabytes,intermediate,int,30.0
47,anthropic_claude-3-5-haiku-20241022,subsequent_download_time,intermediate,float,3.0
47,anthropic_claude-3-5-haiku-20241022,total_download_time,intermediate,float,15.0
47,anthropic_claude-3-5-haiku-20241022,answer,final,float,15.0
47,openai_gpt-4.1-mini,file_size_mb,argument,int,90.0
47,openai_gpt-4.1-mini,first_rate_mb_per_sec,argument,int,5.0
47,openai_gpt-4.1-mini,first_part_mb,argument,int,60.0
47,openai_gpt-4.1-mini,second_rate_mb_per_sec,argument,int,10.0
47,openai_gpt-4.1-mini,time_first_part,intermediate,float,12.0
47,openai_gpt-4.1-mini,remaining_mb,intermediate,int,30.0
47,openai_gpt-4.1-mini,time_remaining,intermediate,float,3.0
47,openai_gpt-4.1-mini,total_time,intermediate,float,15.0
47,openai_gpt-4.1-mini,answer,final,float,15.0
47,google_gemini-2.0-flash-thinking-exp,total_size_mb,argument,int,90.0
47,google_gemini-2.0-flash-thinking-exp,rate_first_part_mbps,argument,int,5.0
47,google_gemini-2.0-flash-thinking-exp,size_first_part_mb,argument,int,60.0
47,google_gemini-2.0-flash-thinking-exp,rate_second_part_mbps,argument,int,10.0
47,google_gemini-2.0-flash-thinking-exp,time_first_part,intermediate,float,12.0
47,google_gemini-2.0-flash-thinking-exp,remaining_size_mb,intermediate,int,30.0
47,google_gemini-2.0-flash-thinking-exp,time_second_part,intermediate,float,3.0
47,google_gemini-2.0-flash-thinking-exp,total_time,intermediate,float,15.0
47,google_gemini-2.0-flash-thinking-exp,answer,final,float,15.0
47,google_gemini-2.5-flash-lite-preview-06-17,total_file_size,argument,int,90.0
47,google_gemini-2.5-flash-lite-preview-06-17,first_part_size,argument,int,60.0
47,google_gemini-2.5-flash-lite-preview-06-17,first_part_rate,argument,int,5.0
47,google_gemini-2.5-flash-lite-preview-06-17,second_part_rate,argument,int,10.0
47,google_gemini-2.5-flash-lite-preview-06-17,time_first_part,intermediate,float,12.0
47,google_gemini-2.5-flash-lite-preview-06-17,remaining_size,intermediate,int,30.0
47,google_gemini-2.5-flash-lite-preview-06-17,time_second_part,intermediate,float,3.0
47,google_gemini-2.5-flash-lite-preview-06-17,total_time,intermediate,float,15.0
47,google_gemini-2.5-flash-lite-preview-06-17,answer,final,float,15.0
47,google_gemini-2.5-flash,file_size,argument,int,90.0
47,google_gemini-2.5-flash,rate_first_part,argument,int,5.0
47,google_gemini-2.5-flash,first_part_size,argument,int,60.0
47,google_gemini-2.5-flash,rate_second_part,argument,int,10.0
47,google_gemini-2.5-flash,time_first_part,intermediate,float,12.0
47,google_gemini-2.5-flash,remaining_megabytes,intermediate,int,30.0
47,google_gemini-2.5-flash,time_second_part,intermediate,float,3.0
47,google_gemini-2.5-flash,total_download_time,intermediate,float,15.0
47,google_gemini-2.5-flash,answer,final,float,15.0
