index,label,error_type,source_file
2,0,correct,gsm8k.main.train
2,1,conceptual,GSM8_Edited/0-100.json
4,0,correct,gsm8k.main.train
4,1,conceptual,GSM8_Edited/0-100.json
6,0,correct,gsm8k.main.train
6,1,conceptual,GSM8_Edited/0-100.json
10,0,correct,gsm8k.main.train
10,1,conceptual,GSM8_Edited/0-100.json
11,0,correct,gsm8k.main.train
11,1,conceptual,GSM8_Edited/0-100.json
13,0,correct,gsm8k.main.train
13,1,conceptual,GSM8_Edited/0-100.json
16,0,correct,gsm8k.main.train
16,1,conceptual,GSM8_Edited/0-100.json
19,0,correct,gsm8k.main.train
19,1,conceptual,GSM8_Edited/0-100.json
20,0,correct,gsm8k.main.train
20,1,conceptual,GSM8_Edited/0-100.json
22,0,correct,gsm8k.main.train
22,1,conceptual,GSM8_Edited/0-100.json
25,0,correct,gsm8k.main.train
25,1,conceptual,GSM8_Edited/0-100.json
26,0,correct,gsm8k.main.train
26,1,conceptual,GSM8_Edited/0-100.json
29,0,correct,gsm8k.main.train
29,1,conceptual,GSM8_Edited/0-100.json
31,0,correct,gsm8k.main.train
31,1,conceptual,GSM8_Edited/0-100.json
36,0,correct,gsm8k.main.train
36,1,conceptual,GSM8_Edited/0-100.json
37,0,correct,gsm8k.main.train
37,1,conceptual,GSM8_Edited/0-100.json
39,0,correct,gsm8k.main.train
39,1,conceptual,GSM8_Edited/0-100.json
40,0,correct,gsm8k.main.train
40,1,conceptual,GSM8_Edited/0-100.json
43,0,correct,gsm8k.main.train
43,1,conceptual,GSM8_Edited/0-100.json
45,0,correct,gsm8k.main.train
45,1,conceptual,GSM8_Edited/0-100.json
48,0,correct,gsm8k.main.train
48,1,conceptual,GSM8_Edited/0-100.json
51,0,correct,gsm8k.main.train
51,1,conceptual,GSM8_Edited/0-100.json
53,0,correct,gsm8k.main.train
53,1,conceptual,GSM8_Edited/0-100.json
54,0,correct,gsm8k.main.train
54,1,conceptual,GSM8_Edited/0-100.json
57,0,correct,gsm8k.main.train
57,1,conceptual,GSM8_Edited/0-100.json
59,0,correct,gsm8k.main.train
59,1,conceptual,GSM8_Edited/0-100.json
62,0,correct,gsm8k.main.train
62,1,conceptual,GSM8_Edited/0-100.json
63,0,correct,gsm8k.main.train
63,1,conceptual,GSM8_Edited/0-100.json
65,0,correct,gsm8k.main.train
65,1,conceptual,GSM8_Edited/0-100.json
66,0,correct,gsm8k.main.train
66,1,conceptual,GSM8_Edited/0-100.json
67,0,correct,gsm8k.main.train
67,1,conceptual,GSM8_Edited/0-100.json
70,0,correct,gsm8k.main.train
70,1,conceptual,GSM8_Edited/0-100.json
74,0,correct,gsm8k.main.train
74,1,conceptual,GSM8_Edited/0-100.json
77,0,correct,gsm8k.main.train
77,1,conceptual,GSM8_Edited/0-100.json
78,0,correct,gsm8k.main.train
78,1,conceptual,GSM8_Edited/0-100.json
80,0,correct,gsm8k.main.train
80,1,conceptual,GSM8_Edited/0-100.json
83,0,correct,gsm8k.main.train
83,1,conceptual,GSM8_Edited/0-100.json
84,0,correct,gsm8k.main.train
84,1,conceptual,GSM8_Edited/0-100.json
86,0,correct,gsm8k.main.train
86,1,conceptual,GSM8_Edited/0-100.json
87,0,correct,gsm8k.main.train
87,1,conceptual,GSM8_Edited/0-100.json
89,0,correct,gsm8k.main.train
89,1,conceptual,GSM8_Edited/0-100.json
90,0,correct,gsm8k.main.train
90,1,conceptual,GSM8_Edited/0-100.json
93,0,correct,gsm8k.main.train
93,1,conceptual,GSM8_Edited/0-100.json
97,0,correct,gsm8k.main.train
97,1,conceptual,GSM8_Edited/0-100.json
98,0,correct,gsm8k.main.train
